Model,Horizon,Window,Macrozona,Estacion,Planta,RMSE,MAE,sMAPE,rRMSE,Coverage_90,Pinball_P05,Pinball_P95
INFORMER,Day 1,Raw,Norte Chico,Invierno,canesa_solar_i,0.07081951969102021,0.06931812999149163,191.66666666666669,0.0,0.041666666666666664,0.01668521084357053,0.029663281763593383
INFORMER,Day 1,Invierno,Norte Chico,Invierno,canesa_solar_i,0.7451831204344381,0.4299057542909092,166.63118246646295,178.13012913870978,0.16666666666666666,0.028304731633882817,0.25076660037787707
INFORMER,Day 1,Operational,Norte Chico,Invierno,canesa_solar_i,1.522220245302448,0.9680374963209033,181.97233731880874,157.95540452132735,0.08333333333333333,0.05837655699967096,0.6959153212451686
INFORMER,Day 1,Otoño,Norte Chico,Invierno,canesa_solar_i,1.4757817192040796,0.9868153626060424,178.0579721758681,148.95688999125738,0.125,0.059653801161524224,0.7041135501300838
INFORMER,Day 1,Primavera,Norte Chico,Invierno,canesa_solar_i,1.522220245302448,0.9680374963209033,181.97233731880874,157.95540452132735,0.08333333333333333,0.05837655699967096,0.6959153212451686
INFORMER,Day 1,Verano,Norte Chico,Invierno,canesa_solar_i,1.6733056525537817,1.147853891462243,171.17960534740752,143.995024603045,0.125,0.06566365902059867,0.8287458412863392
INFORMER,7-Day Rollout,Raw,Norte Chico,Invierno,canesa_solar_i,0.9981615500011616,0.5130450690159618,180.30088415416589,203.9592838969514,0.023809523809523808,0.04984435164910143,0.4055680405865479
INFORMER,7-Day Rollout,Invierno,Norte Chico,Invierno,canesa_solar_i,0.9143515253051889,0.5258764401649907,168.6588540183364,177.06590135632402,0.10119047619047619,0.04716881425229076,0.39140364780997466
INFORMER,7-Day Rollout,Operational,Norte Chico,Invierno,canesa_solar_i,1.4465035370883748,0.9084373346361515,179.09589536781937,159.49652301258826,0.06547619047619048,0.0667065663431415,0.737520205148186
INFORMER,7-Day Rollout,Otoño,Norte Chico,Invierno,canesa_solar_i,1.466600413295015,0.9709728549980268,178.52767924663178,150.66906402113102,0.08928571428571429,0.06840405463983318,0.791932046309161
INFORMER,7-Day Rollout,Primavera,Norte Chico,Invierno,canesa_solar_i,1.4465035370883748,0.9084373346361515,179.09589536781937,159.49652301258826,0.06547619047619048,0.0667065663431415,0.737520205148186
INFORMER,7-Day Rollout,Verano,Norte Chico,Invierno,canesa_solar_i,1.7012918938228514,1.153004505025733,167.022040055875,145.56746009612843,0.1130952380952381,0.0736452650784659,0.9635068483749082
INFORMER,Day 1,Raw,Norte Chico,Invierno,chalinga_solar,0.838460942838871,0.5380563876630428,184.53694285223474,158.9037156541862,0.08333333333333333,0.03568969895034873,0.29344290867932915
INFORMER,Day 1,Invierno,Norte Chico,Invierno,chalinga_solar,0.8403413768255501,0.5426527670545814,185.87975218606093,158.03130421655212,0.08333333333333333,0.04008971343379623,0.30948445929971063
INFORMER,Day 1,Otoño,Norte Chico,Invierno,chalinga_solar,0.9930178701610922,0.6712656509480439,170.89967085212467,147.15387568834856,0.125,0.04587947657079591,0.42559234717725003
INFORMER,Day 1,Primavera,Norte Chico,Invierno,chalinga_solar,1.2159168094408395,0.7959857857010016,181.4159627399393,153.535144894708,0.041666666666666664,0.05165004666972286,0.5364283340711458
INFORMER,Day 1,Verano,Norte Chico,Invierno,chalinga_solar,1.5275051768568393,1.0829286647688907,168.39084223671506,139.22748771154596,0.125,0.06311534495616798,0.7762693845094569
INFORMER,7-Day Rollout,Raw,Norte Chico,Invierno,chalinga_solar,0.9455142401771713,0.6094627503584239,183.12031062874635,157.8053757173291,0.05357142857142857,0.05431492935385904,0.44992791630866114
INFORMER,7-Day Rollout,Invierno,Norte Chico,Invierno,chalinga_solar,0.9447706201767577,0.6073942551856384,182.58421822923842,158.1979098516899,0.05357142857142857,0.05491509928857947,0.4532005731736025
INFORMER,7-Day Rollout,Otoño,Norte Chico,Invierno,chalinga_solar,0.9660973415642935,0.6527235875259394,172.5440662946976,147.48990605347672,0.09523809523809523,0.053251719718116895,0.4981517803127843
INFORMER,7-Day Rollout,Primavera,Norte Chico,Invierno,chalinga_solar,1.1729100612184262,0.7639281926435615,181.30871903696922,154.41056977624243,0.041666666666666664,0.0615503475705834,0.6057858981823117
INFORMER,7-Day Rollout,Verano,Norte Chico,Invierno,chalinga_solar,1.448858486471059,1.0086947777911388,167.34615890216756,141.59449162524402,0.10119047619047619,0.06718987183318989,0.8295733046426557
INFORMER,Day 1,Raw,Norte Chico,Invierno,illapel_5x,0.8890130554500406,0.5448559546299899,183.91338282372877,166.28943423066863,0.125,0.033901174356772874,0.2906774362646199
INFORMER,Day 1,Invierno,Norte Chico,Invierno,illapel_5x,0.8890532638566849,0.5449954253078128,184.1225401257806,166.32236343918754,0.125,0.03594252990054277,0.2979282525232217
INFORMER,Day 1,Otoño,Norte Chico,Invierno,illapel_5x,1.0290112553767397,0.6987999150393686,174.84433715820742,146.47055809145252,0.125,0.04454227512809061,0.42977361353356786
INFORMER,Day 1,Primavera,Norte Chico,Invierno,illapel_5x,1.366121086110698,0.8975823114160448,183.63023759731618,152.89255978373458,0.08333333333333333,0.05260855663024511,0.611848191152482
INFORMER,Day 1,Verano,Norte Chico,Invierno,illapel_5x,1.7204994901437203,1.1281643948362141,180.6931296702328,151.82927195039414,0.125,0.0638633050608803,0.8249868506291458
INFORMER,7-Day Rollout,Raw,Norte Chico,Invierno,illapel_5x,1.1128395254423586,0.7074928298340659,186.7608506642567,159.6125380557901,0.047619047619047616,0.05814421811708739,0.5364238161990145
INFORMER,7-Day Rollout,Invierno,Norte Chico,Invierno,illapel_5x,1.1123717457272604,0.7071758639218128,187.04456340498555,159.56527752146638,0.03571428571428571,0.05815751704056831,0.5449566199182301
INFORMER,7-Day Rollout,Otoño,Norte Chico,Invierno,illapel_5x,0.9364171476585926,0.6149250566590754,176.140160634595,151.9993968911737,0.06547619047619048,0.05080912915175219,0.4548895082728078
INFORMER,7-Day Rollout,Primavera,Norte Chico,Invierno,illapel_5x,1.2619317945238804,0.8038218207947726,181.89414346433765,158.0187601230387,0.03571428571428571,0.062078772692455333,0.6358144367616065
INFORMER,7-Day Rollout,Verano,Norte Chico,Invierno,illapel_5x,1.4660588425360614,0.8870641121464432,188.64802061064617,167.78399832012386,0.023809523809523808,0.06902923327930954,0.710765646876533
INFORMER,Day 1,Raw,Norte Chico,Invierno,norte_chico_i,0.1268875240525012,0.09043134914585,158.73737586315352,153.56616093186238,0.4166666666666667,0.008073251951888476,0.019223584357071874
INFORMER,Day 1,Invierno,Norte Chico,Invierno,norte_chico_i,0.12731798475101685,0.09051597118377686,140.41478564582857,149.68554443478536,0.5416666666666666,0.008661479184714457,0.014355948039640997
INFORMER,Day 1,Otoño,Norte Chico,Invierno,norte_chico_i,1.0803922210509482,0.7167253597969344,177.49398665436001,150.13938227351738,0.125,0.04153597020728436,0.5249805211618271
INFORMER,Day 1,Primavera,Norte Chico,Invierno,norte_chico_i,0.3031567938551392,0.1984521896727832,172.84598829077592,158.29522048659865,0.125,0.015067517324579664,0.07181027474732675
INFORMER,Day 1,Verano,Norte Chico,Invierno,norte_chico_i,1.1994212575902827,0.832099966724248,173.2617964853927,142.75955649292186,0.125,0.04600268885551487,0.6170166788865268
INFORMER,7-Day Rollout,Raw,Norte Chico,Invierno,norte_chico_i,0.21977086613763577,0.161463088168728,139.8804993475911,125.87706864861714,0.3706896551724138,0.01216764358367637,0.08485691047773548
INFORMER,7-Day Rollout,Invierno,Norte Chico,Invierno,norte_chico_i,0.2282028559864569,0.17170530179222573,133.89858821142897,120.2551980763279,0.3944954128440367,0.012613294746208358,0.08747987359715934
INFORMER,7-Day Rollout,Otoño,Norte Chico,Invierno,norte_chico_i,1.0499403903844904,0.681683588757854,180.50081001126625,154.1369549924638,0.06547619047619048,0.04716247045879798,0.5678035044691353
INFORMER,7-Day Rollout,Primavera,Norte Chico,Invierno,norte_chico_i,0.3207687441104472,0.2153746631651088,170.25737712300776,151.35012469369906,0.11904761904761904,0.025181994639171923,0.13388646270963603
INFORMER,7-Day Rollout,Verano,Norte Chico,Invierno,norte_chico_i,1.1574275474041942,0.7950128628449636,171.6207903962571,144.0726640024079,0.08333333333333333,0.05047907701258997,0.6640594080634833
INFORMER,Day 1,Raw,Norte Chico,Invierno,parque_solar_fotovoltaico_maranon,0.4904538826951428,0.4035161548915009,159.119304483362,126.83873676257996,0.4583333333333333,0.04587277348618954,0.07088471932802355
INFORMER,Day 1,Invierno,Norte Chico,Invierno,parque_solar_fotovoltaico_maranon,0.4906461327534616,0.40774542062232894,155.63167767664007,126.76752593366317,0.4583333333333333,0.054541269301747276,0.06605365768385436
INFORMER,Day 1,Otoño,Norte Chico,Invierno,parque_solar_fotovoltaico_maranon,3.8471381534026508,2.6489491223085984,180.0127310208839,144.5714752775595,0.125,0.16175251024833417,1.7493146506264263
INFORMER,Day 1,Primavera,Norte Chico,Invierno,parque_solar_fotovoltaico_maranon,0.5235326585986866,0.43821923781069927,149.1642122089261,116.59702948577986,0.5416666666666666,0.049921446013710624,0.06658164978580322
INFORMER,Day 1,Verano,Norte Chico,Invierno,parque_solar_fotovoltaico_maranon,0.5383604753330843,0.4621586555149406,147.69607573621303,108.38345998431436,0.5833333333333334,0.046280096777870004,0.06985865342818827
INFORMER,7-Day Rollout,Raw,Norte Chico,Invierno,parque_solar_fotovoltaico_maranon,0.4859128306370993,0.40702040798138245,159.9206544385833,128.12528889815692,0.2619047619047619,0.08813399364105282,0.14614664741857028
INFORMER,7-Day Rollout,Invierno,Norte Chico,Invierno,parque_solar_fotovoltaico_maranon,0.48480846481127726,0.40675130205735516,159.32201174820472,127.83684357535962,0.23809523809523808,0.08741417573363644,0.14257402441928746
INFORMER,7-Day Rollout,Otoño,Norte Chico,Invierno,parque_solar_fotovoltaico_maranon,3.643970526697396,2.4723891125584356,184.29952455983448,147.18288627210967,0.05952380952380952,0.1874596123475807,1.9218736618679215
INFORMER,7-Day Rollout,Primavera,Norte Chico,Invierno,parque_solar_fotovoltaico_maranon,0.5151458272324082,0.43489026786188506,151.31616476180852,117.42466915996349,0.27976190476190477,0.08027742916871959,0.1649521436820145
INFORMER,7-Day Rollout,Verano,Norte Chico,Invierno,parque_solar_fotovoltaico_maranon,0.5587408195295561,0.4810005901658553,145.64786580347067,107.25181570631923,0.32142857142857145,0.07330057722754732,0.18870310701701484
INFORMER,Day 1,Raw,Norte Chico,Invierno,pfv_malgarida,4.237036816588308,3.7693355679512024,158.33333333333331,0.0,0.20833333333333334,0.5392599031329155,1.8902789036432919
INFORMER,Day 1,Invierno,Norte Chico,Invierno,pfv_malgarida,91.29908029245604,59.9310675698022,184.3036150368911,153.21744087903107,0.041666666666666664,3.5927540665492415,40.9214177371934
INFORMER,Day 1,Operational,Norte Chico,Invierno,pfv_malgarida,91.29908029245604,59.9310675698022,184.3036150368911,153.21744087903107,0.041666666666666664,3.5927540665492415,40.9214177371934
INFORMER,Day 1,Otoño,Norte Chico,Invierno,pfv_malgarida,118.69669085687983,81.81405023159459,174.56161584524054,144.51634161526988,0.08333333333333333,4.536859460679504,60.388457729131915
INFORMER,Day 1,Primavera,Norte Chico,Invierno,pfv_malgarida,111.51446672939205,75.05525529757142,168.46150078108522,147.7550995635794,0.125,4.093800389332077,53.003989278463024
INFORMER,Day 1,Verano,Norte Chico,Invierno,pfv_malgarida,123.70829657454603,89.49473620516558,185.91097172636043,137.16029346743431,0.041666666666666664,5.110166252745937,66.8564035242113
INFORMER,7-Day Rollout,Raw,Norte Chico,Invierno,pfv_malgarida,73.56836081922762,41.18623139585058,168.48079140271142,183.9668918531198,0.125,2.97961316162809,33.609914925898465
INFORMER,7-Day Rollout,Invierno,Norte Chico,Invierno,pfv_malgarida,96.22536091196824,63.080582189950206,181.50986710182232,153.1063898840984,0.05357142857142857,4.448841231750945,51.02432802247681
INFORMER,7-Day Rollout,Operational,Norte Chico,Invierno,pfv_malgarida,96.22536091196824,63.080582189950206,181.50986710182232,153.1063898840984,0.05357142857142857,4.448841231750945,51.02432802247681
INFORMER,7-Day Rollout,Otoño,Norte Chico,Invierno,pfv_malgarida,118.18590284253368,81.06703893037601,184.60412295627177,145.41685312557286,0.041666666666666664,5.298162229361368,67.43065891903382
INFORMER,7-Day Rollout,Primavera,Norte Chico,Invierno,pfv_malgarida,114.49907624177786,76.80323986389807,171.28760627103767,148.3716082585644,0.09523809523809523,4.98867890102168,63.89324573613703
INFORMER,7-Day Rollout,Verano,Norte Chico,Invierno,pfv_malgarida,128.19980465126886,91.66147189540789,181.4372036204313,138.751617695704,0.03571428571428571,5.894465894643439,78.63314662663863
LSTM,Day 1,Raw,Norte Chico,Invierno,canesa_solar_i,0.24670569459064945,0.16828257218003273,191.66666666666669,0.0,0.375,0.03991806043777615,0.023970168215843562
LSTM,Day 1,Invierno,Norte Chico,Invierno,canesa_solar_i,0.6068722143106418,0.3373503473218686,149.10831813082464,145.06800132942666,0.5416666666666666,0.023750625144748485,0.16067244972849343
LSTM,Day 1,Operational,Norte Chico,Invierno,canesa_solar_i,1.358573495589755,0.8449517693370581,167.02494835752353,140.97436079310327,0.4583333333333333,0.04946605690444509,0.5709629200864583
LSTM,Day 1,Otoño,Norte Chico,Invierno,canesa_solar_i,1.3048661273647821,0.8548784124626158,159.31068839523437,131.70565650591004,0.4166666666666667,0.05047599455283489,0.5571769745506269
LSTM,Day 1,Primavera,Norte Chico,Invierno,canesa_solar_i,1.358573495589755,0.8449517693370581,167.02494835752353,140.97436079310327,0.4583333333333333,0.04946605690444509,0.5709629200864583
LSTM,Day 1,Verano,Norte Chico,Invierno,canesa_solar_i,1.4973567537584167,1.0068712322390638,154.39380083334882,128.85387811121902,0.5,0.056936993169559476,0.696811051229209
LSTM,7-Day Rollout,Raw,Norte Chico,Invierno,canesa_solar_i,0.9002804717677112,0.47291997599227,166.21893767119522,183.9587593089899,0.39285714285714285,0.03883533777344773,0.5344426193935632
LSTM,7-Day Rollout,Invierno,Norte Chico,Invierno,canesa_solar_i,0.7622114741183392,0.4225129015938451,152.08088084597946,147.6036928399602,0.5238095238095238,0.027699361163329394,0.20622270731042333
LSTM,7-Day Rollout,Operational,Norte Chico,Invierno,canesa_solar_i,1.269010651649854,0.7739689399940766,161.654835927657,139.92553866235355,0.49404761904761907,0.04595099957457153,0.48430520540972616
LSTM,7-Day Rollout,Otoño,Norte Chico,Invierno,canesa_solar_i,1.2871841421240935,0.8357413504375343,162.03671314277665,132.2369939068521,0.44642857142857145,0.04901771399203036,0.5325264914537413
LSTM,7-Day Rollout,Primavera,Norte Chico,Invierno,canesa_solar_i,1.269010651649854,0.7739689399940766,161.654835927657,139.92553866235355,0.49404761904761907,0.04595099957457153,0.48430520540972616
LSTM,7-Day Rollout,Verano,Norte Chico,Invierno,canesa_solar_i,1.5202131324843235,1.0089743659094286,151.26218775107606,130.07383700822155,0.5357142857142857,0.05643576321183771,0.6899117450561052
LSTM,Day 1,Raw,Norte Chico,Invierno,chalinga_solar,0.7123222215390873,0.45753651059931144,165.41427854756802,134.9981161464279,0.041666666666666664,0.03924497965005382,0.2533853278078216
LSTM,Day 1,Invierno,Norte Chico,Invierno,chalinga_solar,0.7129542742432438,0.46116651460761204,166.56580932704497,134.07538520956896,0.0,0.03947094191583649,0.2540520251835308
LSTM,Day 1,Otoño,Norte Chico,Invierno,chalinga_solar,0.8783915108888883,0.6029464727616869,160.21211896641205,130.167562017867,0.08333333333333333,0.04305512593030775,0.4038637006703842
LSTM,Day 1,Primavera,Norte Chico,Invierno,chalinga_solar,1.0988903708228657,0.7276662865187973,172.17083872044475,138.75808854495244,0.041666666666666664,0.05039484980128084,0.5213130855350755
LSTM,Day 1,Verano,Norte Chico,Invierno,chalinga_solar,1.4106644348779858,1.004289023054298,158.54001256037577,128.57780664038756,0.125,0.06048230710342372,0.786361789816874
LSTM,7-Day Rollout,Raw,Norte Chico,Invierno,chalinga_solar,0.855933378510677,0.5528588168956394,170.64006676220717,142.85442000278127,0.023809523809523808,0.04689119931118469,0.39874512998216055
LSTM,7-Day Rollout,Invierno,Norte Chico,Invierno,chalinga_solar,0.853261646489915,0.5496297697072372,169.84893721829377,142.87511290948248,0.023809523809523808,0.046176160087253226,0.39369064140278387
LSTM,7-Day Rollout,Otoño,Norte Chico,Invierno,chalinga_solar,0.8820647009457244,0.6000550255000432,162.49042363153455,134.66100596542745,0.07738095238095238,0.044606395554135404,0.45173689939480016
LSTM,7-Day Rollout,Primavera,Norte Chico,Invierno,chalinga_solar,1.0885435371425816,0.70957794321863,171.08386620292944,143.30393553093668,0.03571428571428571,0.05407534613467913,0.5476386157584167
LSTM,7-Day Rollout,Verano,Norte Chico,Invierno,chalinga_solar,1.361966979687925,0.9492475541157459,158.01498703526318,133.10273149518727,0.11904761904761904,0.05934856978450885,0.7800835399486198
LSTM,Day 1,Raw,Norte Chico,Invierno,illapel_5x,0.766145758805794,0.45024769120694447,161.99163756753848,143.3071696630459,0.08333333333333333,0.0324931084314206,0.2489595044966942
LSTM,Day 1,Invierno,Norte Chico,Invierno,illapel_5x,0.7654442252049488,0.44986643801288057,162.10118919813195,143.19782378920237,0.08333333333333333,0.032417612932234385,0.24778040885187994
LSTM,Day 1,Otoño,Norte Chico,Invierno,illapel_5x,0.9087514442168825,0.6082197481009644,156.51424937787237,129.35264848208877,0.08333333333333333,0.03892129838107697,0.39362695546442406
LSTM,Day 1,Primavera,Norte Chico,Invierno,illapel_5x,1.2336499264275458,0.8081028974459817,171.63340371980377,138.06674755713388,0.041666666666666664,0.04892473031068221,0.5684308814932592
LSTM,Day 1,Verano,Norte Chico,Invierno,illapel_5x,1.600039202338042,1.0449487039974201,168.66322280481035,141.19898818614655,0.125,0.0609840953686008,0.8085858343826184
LSTM,7-Day Rollout,Raw,Norte Chico,Invierno,illapel_5x,1.02316047783511,0.6405549953439753,175.24266949349615,146.75003625587505,0.017857142857142856,0.04404368836468177,0.47437196098950923
LSTM,7-Day Rollout,Invierno,Norte Chico,Invierno,illapel_5x,1.0226627302636506,0.6403016391405323,175.57686350991995,146.69687808250927,0.017857142857142856,0.0441264743298234,0.47330115849105087
LSTM,7-Day Rollout,Otoño,Norte Chico,Invierno,illapel_5x,0.8542710673669005,0.5527168635265102,163.88935393501706,138.66543062140664,0.05952380952380952,0.037074688166172966,0.39984800414481436
LSTM,7-Day Rollout,Primavera,Norte Chico,Invierno,illapel_5x,1.1723626869458492,0.7372908545504894,171.34000927872788,146.80294054687243,0.047619047619047616,0.048545085299363,0.5594331255551933
LSTM,7-Day Rollout,Verano,Norte Chico,Invierno,illapel_5x,1.3903962002563144,0.8420858903789056,182.18487935591497,159.12474108103459,0.02976190476190476,0.057292705587536887,0.6748444706750909
LSTM,Day 1,Raw,Norte Chico,Invierno,norte_chico_i,0.0525585748144895,0.043991519164895486,129.9720478501029,63.60923675184695,0.375,0.0071557400683862704,0.012010138099746359
LSTM,Day 1,Invierno,Norte Chico,Invierno,norte_chico_i,0.06633895230318948,0.04869218713914355,112.53740824458298,77.99355458033095,0.625,0.008196459233295173,0.009668102868211775
LSTM,Day 1,Otoño,Norte Chico,Invierno,norte_chico_i,0.9758476004350427,0.640745355951367,161.86501687015033,135.6110800019379,0.25,0.03789240318534818,0.45003288868513963
LSTM,Day 1,Primavera,Norte Chico,Invierno,norte_chico_i,0.22542035508189465,0.15752899983529764,155.31925442569897,117.70465162956782,0.4166666666666667,0.014436930928142527,0.04119218586863554
LSTM,Day 1,Verano,Norte Chico,Invierno,norte_chico_i,1.0921809852301168,0.7478494230696621,154.71272947681928,129.99542243790654,0.2916666666666667,0.04148178030639731,0.546579365603975
LSTM,7-Day Rollout,Raw,Norte Chico,Invierno,norte_chico_i,0.12764796607029394,0.09029760968550019,95.57784326917219,73.1122922263221,0.47413793103448276,0.010795895417902952,0.01776361671872706
LSTM,7-Day Rollout,Invierno,Norte Chico,Invierno,norte_chico_i,0.10772535382837647,0.07740160374395676,78.84940888241027,56.76762329058113,0.7522935779816514,0.01016105701045815,0.012840616028942684
LSTM,7-Day Rollout,Otoño,Norte Chico,Invierno,norte_chico_i,0.9481852775982168,0.6124936513052013,165.74412459551857,139.19875146831197,0.22023809523809523,0.03759146870747178,0.431525350371283
LSTM,7-Day Rollout,Primavera,Norte Chico,Invierno,norte_chico_i,0.223997325622618,0.151272601096584,144.36182523937734,105.68992081212625,0.3869047619047619,0.013966751927832598,0.022206292095363678
LSTM,7-Day Rollout,Verano,Norte Chico,Invierno,norte_chico_i,1.0507337739369074,0.7116582064156232,152.40982922417479,130.79178416645098,0.2976190476190476,0.03944818370319332,0.5149714212111749
LSTM,Day 1,Raw,Norte Chico,Invierno,parque_solar_fotovoltaico_maranon,0.18924039093176254,0.17113625708346566,116.681594523554,48.94040597321845,0.4166666666666667,0.05852707001225402,0.033140563708730066
LSTM,Day 1,Invierno,Norte Chico,Invierno,parque_solar_fotovoltaico_maranon,0.20406006010770325,0.1825603578860561,114.24093942614972,52.722700200566564,0.4583333333333333,0.0630786906927824,0.03429999887011948
LSTM,Day 1,Otoño,Norte Chico,Invierno,parque_solar_fotovoltaico_maranon,3.3903198749453685,2.3427098234533332,162.2174099394142,127.40471655538788,0.08333333333333333,0.1666875654278556,1.5634635387735518
