Model,Horizon,Window,Macrozona,Estacion,Planta,RMSE,MAE,sMAPE,rRMSE,Coverage_90,Pinball_P05,Pinball_P95
INFORMER,Day 1,Raw,Norte Chico,Otoño,cachiyuyo_solar_2,3.387633009637881,2.298983393403129,156.1109979742602,145.25615607398439,0.20833333333333334,0.13160215396073907,1.2224534907461324
INFORMER,Day 1,Invierno,Norte Chico,Otoño,cachiyuyo_solar_2,2.9938915933227555,1.9403416014586885,174.74561165491133,156.26796503162407,0.16666666666666666,0.132182747265324,1.0702508582888792
INFORMER,Day 1,Otoño,Norte Chico,Otoño,cachiyuyo_solar_2,3.3882501258444986,2.321962403110471,172.9293769132002,145.27735678486465,0.125,0.1442374361149632,1.300544116551767
INFORMER,Day 1,Primavera,Norte Chico,Otoño,cachiyuyo_solar_2,3.7226893590270196,2.380286762276834,184.5360533406673,157.89870145788248,0.08333333333333333,0.15045944686514,1.438517637509085
INFORMER,Day 1,Verano,Norte Chico,Otoño,cachiyuyo_solar_2,5.8123461891525094,4.183389602733466,178.15006307206949,137.61499975253935,0.08333333333333333,0.23498699324942818,2.9422694915847387
INFORMER,7-Day Rollout,Raw,Norte Chico,Otoño,cachiyuyo_solar_2,2.869412098861037,1.911886382575176,177.87455323235795,151.4816021549133,0.07142857142857142,0.17138120567316428,1.3355759451295461
INFORMER,7-Day Rollout,Invierno,Norte Chico,Otoño,cachiyuyo_solar_2,2.550856299043147,1.41073492464299,179.791330713883,195.46792640479782,0.07738095238095238,0.17218555758729398,0.9505620229069055
INFORMER,7-Day Rollout,Otoño,Norte Chico,Otoño,cachiyuyo_solar_2,2.866627490952258,1.9102125545539907,177.64722216202776,151.33218555322273,0.07142857142857142,0.17132729565823648,1.3779253590045861
INFORMER,7-Day Rollout,Primavera,Norte Chico,Otoño,cachiyuyo_solar_2,3.9816740925480483,2.2547768517590505,185.28549152062027,183.21879454844367,0.05952380952380952,0.20056989244579068,1.8309256405878624
INFORMER,7-Day Rollout,Verano,Norte Chico,Otoño,cachiyuyo_solar_2,5.758312971776365,4.142436536040068,176.41985621095228,137.61152033947604,0.06547619047619048,0.2682214788310895,3.415942058921237
LSTM,Day 1,Raw,Norte Chico,Otoño,cachiyuyo_solar_2,2.775225180501535,1.882280749745405,139.81368282198412,118.9971112019816,0.4583333333333333,0.12016544786232164,0.7894169496455409
LSTM,Day 1,Invierno,Norte Chico,Otoño,cachiyuyo_solar_2,2.2975804364378614,1.4234974617138505,148.73442425043285,119.9235871129651,0.5833333333333334,0.0994461574126035,0.3896192693306754
LSTM,Day 1,Otoño,Norte Chico,Otoño,cachiyuyo_solar_2,2.7721301710770136,1.8850961991665827,156.29200827448108,118.86009856408286,0.4583333333333333,0.12054877300730975,0.7829431622588041
LSTM,Day 1,Primavera,Norte Chico,Otoño,cachiyuyo_solar_2,2.982860326461993,1.829529223749584,157.96925812010414,126.51868763545832,0.4583333333333333,0.1225491545302854,0.6928504031665398
LSTM,Day 1,Verano,Norte Chico,Otoño,cachiyuyo_solar_2,5.147956394956833,3.6286894640652463,153.32910519974547,121.88469078806953,0.4583333333333333,0.20740429226425475,2.3232612274839384
LSTM,7-Day Rollout,Raw,Norte Chico,Otoño,cachiyuyo_solar_2,2.2234883667180805,1.460118091968893,152.33084976140995,117.38208683826213,0.48214285714285715,0.10831504413393607,0.3994132052216672
LSTM,7-Day Rollout,Invierno,Norte Chico,Otoño,cachiyuyo_solar_2,2.010616638559626,1.1591761580757087,160.27940676428722,154.0702489911554,0.5238095238095238,0.10852398395072668,0.2580261796546568
LSTM,7-Day Rollout,Otoño,Norte Chico,Otoño,cachiyuyo_solar_2,2.184018791123069,1.4320247059619025,151.33429563270002,115.29657689851057,0.5654761904761905,0.10723440414127428,0.36336939553873115
LSTM,7-Day Rollout,Primavera,Norte Chico,Otoño,cachiyuyo_solar_2,3.3854479048002446,1.948991769123625,169.95335947849486,155.78313787282175,0.4583333333333333,0.1442669358032964,0.9118491791586426
LSTM,7-Day Rollout,Verano,Norte Chico,Otoño,cachiyuyo_solar_2,5.016106084345831,3.528047607158355,150.4764047456833,119.87434302967128,0.48214285714285715,0.2031685073898795,2.1007184466441338
LSTM_LOCAL,Day 1,Raw,Norte Chico,Otoño,cachiyuyo_solar_2,3.553279069118343,2.330726484410358,171.4229738625865,152.3587878527161,0.16666666666666666,0.11670207776399667,2.184773107843709
LSTM_LOCAL,Day 1,Invierno,Norte Chico,Otoño,cachiyuyo_solar_2,2.852165278013102,1.7847122241122026,167.61985032930718,148.87047511105894,1.0,0.09579351701152822,0.6393034184196349
LSTM_LOCAL,Day 1,Otoño,Norte Chico,Otoño,cachiyuyo_solar_2,3.5536317437211813,2.3311384347580315,184.6470969610174,152.36839298749467,0.08333333333333333,0.11671318395086323,2.1874087640228024
LSTM_LOCAL,Day 1,Primavera,Norte Chico,Otoño,cachiyuyo_solar_2,3.877218450210926,2.3574595731618806,191.15323241262,164.4530874090602,0.041666666666666664,0.11792179174144624,2.2326405532822715
LSTM_LOCAL,Day 1,Verano,Norte Chico,Otoño,cachiyuyo_solar_2,4.953456192566374,3.918217831485284,150.91331281417098,117.27964070454473,0.5833333333333334,0.23695665245371247,0.5330836305336565
LSTM_LOCAL,7-Day Rollout,Raw,Norte Chico,Otoño,cachiyuyo_solar_2,3.027520049962223,1.8941392062352818,189.62820774864218,159.82841499359375,0.047619047619047616,0.0960074270586466,1.776813160362759
LSTM_LOCAL,7-Day Rollout,Invierno,Norte Chico,Otoño,cachiyuyo_solar_2,2.5647314384696456,1.3008402399497019,178.76098472756527,196.5311555382039,0.6011904761904762,0.06632140667310782,0.8251036479237625
LSTM_LOCAL,7-Day Rollout,Otoño,Norte Chico,Otoño,cachiyuyo_solar_2,3.027923831834641,1.8940632755882343,188.6053408947587,159.84718370506147,0.047619047619047616,0.09577698770381608,1.778631192044165
LSTM_LOCAL,7-Day Rollout,Primavera,Norte Chico,Otoño,cachiyuyo_solar_2,4.11912830462663,2.1735649491088442,195.18288867088503,189.5438212726996,0.02976190476190476,0.10902878050618323,2.0608918235552665
LSTM_LOCAL,7-Day Rollout,Verano,Norte Chico,Otoño,cachiyuyo_solar_2,4.7417577322582245,3.9088646555873785,146.96743426960995,113.31799674935456,0.375,0.45147219163398916,0.9874769427198257
NHITS,Day 1,Raw,Norte Chico,Otoño,cachiyuyo_solar_2,3.551946800864655,2.3312446130839817,132.99783724877875,152.30166237163846,0.25,0.12283228092680172,2.209873725627464
NHITS,Day 1,Invierno,Norte Chico,Otoño,cachiyuyo_solar_2,2.7583043904453097,2.0176431694999337,160.7673258400492,143.97134986250495,0.041666666666666664,0.4823597331997007,1.5388430507698405
NHITS,Day 1,Otoño,Norte Chico,Otoño,cachiyuyo_solar_2,3.113918564832528,2.349995534223126,160.71399315936478,133.5148945739169,0.041666666666666664,0.46000883561543254,1.890634916504314
NHITS,Day 1,Primavera,Norte Chico,Otoño,cachiyuyo_solar_2,3.6221493500860316,2.4057952529783506,176.42552898987066,153.6342745005671,0.0,0.35670831291781724,2.048904498686867
NHITS,Day 1,Verano,Norte Chico,Otoño,cachiyuyo_solar_2,5.686759129879861,4.168577051294657,173.71354564646015,134.64155967029131,0.041666666666666664,0.3881749873495816,3.7802101618862554
NHITS,7-Day Rollout,Raw,Norte Chico,Otoño,cachiyuyo_solar_2,3.0302587515507207,1.8939741255360008,134.10776028825236,159.97299614476913,0.24404761904761904,0.09779984515219743,1.7972727354885396
NHITS,7-Day Rollout,Invierno,Norte Chico,Otoño,cachiyuyo_solar_2,2.4183264753693146,1.5746404400228389,172.3499268414346,185.31238380130623,0.041666666666666664,0.49957733272153526,1.081795851687812
NHITS,7-Day Rollout,Otoño,Norte Chico,Otoño,cachiyuyo_solar_2,2.658118239581854,1.9555451044921246,162.2740902990107,140.3247697597365,0.02976190476190476,0.43461047791753077,1.5239183165923396
NHITS,7-Day Rollout,Primavera,Norte Chico,Otoño,cachiyuyo_solar_2,3.9293208191327937,2.311752069738629,183.20053989037817,180.80973157069764,0.005952380952380952,0.368357815847988,1.948216877611477
NHITS,7-Day Rollout,Verano,Norte Chico,Otoño,cachiyuyo_solar_2,5.681398013135535,4.137608223472766,173.78340032408042,135.77341524736127,0.041666666666666664,0.3616321933472396,3.775245833597035
NHITS_LOCAL,Day 1,Raw,Norte Chico,Otoño,cachiyuyo_solar_2,3.5452153013009817,2.3297902773786823,155.96830886048394,152.01302669343747,0.375,0.1169004497064331,2.1841526346732887
NHITS_LOCAL,Day 1,Invierno,Norte Chico,Otoño,cachiyuyo_solar_2,3.1161634527070134,1.9422335567651317,172.88265641874798,162.65001797209305,0.25,0.12791850994399281,1.7596185865152316
NHITS_LOCAL,Day 1,Otoño,Norte Chico,Otoño,cachiyuyo_solar_2,3.536733208827916,2.319923375884779,164.60654887898585,151.64383771806382,0.4166666666666667,0.11697439438303263,2.1882221334097873
NHITS_LOCAL,Day 1,Primavera,Norte Chico,Otoño,cachiyuyo_solar_2,3.8416593188943176,2.3346660367648533,139.31557174225492,162.94483890418624,0.5,0.1179012959622014,2.1920966398678803
NHITS_LOCAL,Day 1,Verano,Norte Chico,Otoño,cachiyuyo_solar_2,5.924235358345211,4.183472366809535,151.30934857542115,140.26412413186517,0.20833333333333334,0.22812806347501466,3.909922611148795
NHITS_LOCAL,7-Day Rollout,Raw,Norte Chico,Otoño,cachiyuyo_solar_2,3.015182397058818,1.8948756507779763,180.3435836222176,159.17708734728572,0.25595238095238093,0.0994876939553121,1.776639316704374
NHITS_LOCAL,7-Day Rollout,Invierno,Norte Chico,Otoño,cachiyuyo_solar_2,2.667263534395624,1.31633603711041,140.08648185199317,204.3880215592756,0.3869047619047619,0.08018999231502504,1.221518971505741
NHITS_LOCAL,7-Day Rollout,Otoño,Norte Chico,Otoño,cachiyuyo_solar_2,3.0222150129049954,1.8910826413424122,160.83243392511218,159.54580933804738,0.42857142857142855,0.09544952861119133,1.7864108669743863
NHITS_LOCAL,7-Day Rollout,Primavera,Norte Chico,Otoño,cachiyuyo_solar_2,4.10776643612121,2.176698159755861,154.24383535356446,189.02099901176243,0.5178571428571429,0.1101274597889945,2.0480236519564596
NHITS_LOCAL,7-Day Rollout,Verano,Norte Chico,Otoño,cachiyuyo_solar_2,5.918669640846105,4.166813104003224,160.09749563019946,141.44370610906154,0.3392857142857143,0.2121717592884254,3.929283340544983
TFT,Day 1,Raw,Norte Chico,Otoño,cachiyuyo_solar_2,3.3723936296688057,2.3289044805290664,156.23723922762107,144.602716415981,0.125,0.21023140273628085,2.1501902007891354
TFT,Day 1,Invierno,Norte Chico,Otoño,cachiyuyo_solar_2,2.975162999693806,1.9795612143352628,174.71507138340232,155.29041486887687,0.041666666666666664,0.23635030694616335,1.771707056571419
TFT,Day 1,Otoño,Norte Chico,Otoño,cachiyuyo_solar_2,3.3746938735374856,2.360671599062092,172.75572070546977,144.6961079307587,0.041666666666666664,0.23264443335107596,2.1516797187105716
TFT,Day 1,Primavera,Norte Chico,Otoño,cachiyuyo_solar_2,3.7026420272262057,2.4183764672870893,182.85639055222828,157.04838939749848,0.0,0.25880673364581525,2.1855909645760825
TFT,Day 1,Verano,Norte Chico,Otoño,cachiyuyo_solar_2,5.78796989804386,4.204655061669958,176.97012226211282,137.03785875203508,0.041666666666666664,0.31595513682307985,3.941965809831163
TFT,7-Day Rollout,Raw,Norte Chico,Otoño,cachiyuyo_solar_2,2.8230497876342513,1.9402352096888837,173.3784284027419,149.03404950570481,0.02976190476190476,0.26542189625736123,1.6904702918644987
TFT,7-Day Rollout,Invierno,Norte Chico,Otoño,cachiyuyo_solar_2,2.5108066449519595,1.4795890531413967,178.0762863679542,192.3989872248956,0.041666666666666664,0.3050770844765273,1.181255115414526
TFT,7-Day Rollout,Otoño,Norte Chico,Otoño,cachiyuyo_solar_2,2.811079421524761,1.943118627566513,172.31905257768872,148.39974637992336,0.02976190476190476,0.27423609471934474,1.683003491690215
TFT,7-Day Rollout,Primavera,Norte Chico,Otoño,cachiyuyo_solar_2,3.9171036653079963,2.3164322133191795,183.61371555223707,180.24755291303663,0.005952380952380952,0.3436490609327761,1.975763380465265
TFT,7-Day Rollout,Verano,Norte Chico,Otoño,cachiyuyo_solar_2,5.683526531917707,4.148875912396415,173.69213655086787,135.82428235151514,0.041666666666666664,0.3479221205332405,3.8340108928852707
XGB_GLOBAL,Day 1,Raw,Norte Chico,Otoño,cachiyuyo_solar_2,0.7924132148861511,0.5483081410748127,64.48471338715679,33.97738104721514,,,
