Model,Horizon,Window,Macrozona,Estacion,Planta,RMSE,MAE,sMAPE,rRMSE,Coverage_90,Pinball_P05,Pinball_P95
INFORMER,Day 1,Raw,Norte Chico,Verano,amparo_del_sol,1.4494515218837454,1.0232153576701724,158.85119400570974,138.3344518702565,0.20833333333333334,0.05802885408678169,0.5483389567190898
INFORMER,Day 1,Invierno,Norte Chico,Verano,amparo_del_sol,0.8578661472289856,0.5660808706500878,170.2425729023898,155.3259414467215,0.125,0.04597768428502604,0.22361492518878856
INFORMER,Day 1,Otoño,Norte Chico,Verano,amparo_del_sol,1.0745377508403426,0.7159822924683491,165.49623082619357,148.96727231618036,0.16666666666666666,0.04897911281635364,0.3209676145575941
INFORMER,Day 1,Primavera,Norte Chico,Verano,amparo_del_sol,1.1693521401544624,0.7804630962285349,180.75804501523172,151.4978033913387,0.08333333333333333,0.05339030884236612,0.38961959578294536
INFORMER,Day 1,Verano,Norte Chico,Verano,amparo_del_sol,1.4490887832597155,1.0131728748565365,141.89386073126383,138.30123507554217,0.2916666666666667,0.05871153344275323,0.5799727121527516
INFORMER,7-Day Rollout,Raw,Norte Chico,Verano,amparo_del_sol,1.482998219826172,1.0543693794542097,164.76278388176755,137.70535231877568,0.13095238095238096,0.07757327071390949,0.7692062094651587
INFORMER,7-Day Rollout,Invierno,Norte Chico,Verano,amparo_del_sol,0.5732108819495801,0.32977979049402556,170.82153334703148,203.98017301925316,0.08928571428571429,0.06200381181046222,0.17071285943418932
INFORMER,7-Day Rollout,Otoño,Norte Chico,Verano,amparo_del_sol,1.2387932603424832,0.8020666891397354,169.17526281508256,154.03237638138293,0.08928571428571429,0.07345864420080307,0.5581118311646468
INFORMER,7-Day Rollout,Primavera,Norte Chico,Verano,amparo_del_sol,0.9757457068134917,0.5735819959843925,181.12307664673804,182.51173496867042,0.041666666666666664,0.07063953376941713,0.40105179745220243
INFORMER,7-Day Rollout,Verano,Norte Chico,Verano,amparo_del_sol,1.4827263034488494,1.054529284376713,165.8272903276635,137.6805713256348,0.125,0.07839684623860907,0.7946196566460686
INFORMER,Day 1,Raw,Norte Chico,Verano,luna_del_norte,1.2448078275453807,0.8222162648259351,159.11614444227135,149.6981809426964,0.25,0.049444961769040674,0.42687386177713055
INFORMER,Day 1,Invierno,Norte Chico,Verano,luna_del_norte,1.0913070854735107,0.6562575587170917,170.09519437634063,170.5300599888553,0.16666666666666666,0.05323808980653363,0.33943794466449617
INFORMER,Day 1,Otoño,Norte Chico,Verano,luna_del_norte,1.3077539289097284,0.8542543718746552,168.03019158012262,152.07868143164086,0.16666666666666666,0.058821861333368974,0.4511676240595989
INFORMER,Day 1,Primavera,Norte Chico,Verano,luna_del_norte,1.2640937894680095,0.7910728136181812,176.4210691394968,161.76190413825753,0.125,0.0582425593590718,0.4328415345157434
INFORMER,Day 1,Verano,Norte Chico,Verano,luna_del_norte,1.2455289308459099,0.81322573342671,142.5963237441104,149.80755932761446,0.2916666666666667,0.05077843850788971,0.43910700290774307
INFORMER,7-Day Rollout,Raw,Norte Chico,Verano,luna_del_norte,1.2316717892684124,0.8149070769016232,163.5990818302115,149.63017881463094,0.13095238095238096,0.06807523707947916,0.5676732992720124
INFORMER,7-Day Rollout,Invierno,Norte Chico,Verano,luna_del_norte,0.766890940896854,0.39846718767252504,172.88183267679688,219.88172492108657,0.09523809523809523,0.06639831995871645,0.2396809600732879
INFORMER,7-Day Rollout,Otoño,Norte Chico,Verano,luna_del_norte,1.2941039031519597,0.8435807396685336,169.20354891352918,152.549891902861,0.1130952380952381,0.07477863925926306,0.6060174123520701
INFORMER,7-Day Rollout,Primavera,Norte Chico,Verano,luna_del_norte,1.0385953699785329,0.5669813694631662,183.29904848718047,199.9649382127961,0.03571428571428571,0.07275453179994382,0.42798635345007635
INFORMER,7-Day Rollout,Verano,Norte Chico,Verano,luna_del_norte,1.231773771398391,0.8153420221282258,164.9079819351862,149.652495547309,0.10119047619047619,0.06904885151445689,0.5866615596936927
LSTM,Day 1,Raw,Norte Chico,Verano,amparo_del_sol,1.2363369000891358,0.8745821023573322,140.22716765436851,117.99496900629707,0.125,0.057371945988173446,0.5283495932424557
LSTM,Day 1,Invierno,Norte Chico,Verano,amparo_del_sol,0.5566158461969565,0.3561488095826159,139.6973930212331,100.78131724159098,0.5,0.03326653841650113,0.03137974979278322
LSTM,Day 1,Otoño,Norte Chico,Verano,amparo_del_sol,0.8187517365694089,0.5474936333484948,145.49807130661614,113.50668024971313,0.2916666666666667,0.03993255160748959,0.1409828482661396
LSTM,Day 1,Primavera,Norte Chico,Verano,amparo_del_sol,0.8637066837647431,0.5597030487927744,150.67532075185795,111.89928240734392,0.375,0.04124807285485683,0.11696580737716429
LSTM,Day 1,Verano,Norte Chico,Verano,amparo_del_sol,1.1989627976669743,0.8320276124177326,123.39206666147948,114.42917621235283,0.3333333333333333,0.05207710643329241,0.4177947346590978
LSTM,7-Day Rollout,Raw,Norte Chico,Verano,amparo_del_sol,1.3448147078148673,0.9582929612520166,152.3252490169839,124.87417764049933,0.06547619047619048,0.06363196102081745,0.7188505141529369
LSTM,7-Day Rollout,Invierno,Norte Chico,Verano,amparo_del_sol,0.4310399466595899,0.26970607308543376,154.31331325332505,153.38788160962827,0.4583333333333333,0.04051050492250527,0.028447281111411524
LSTM,7-Day Rollout,Otoño,Norte Chico,Verano,amparo_del_sol,1.0021902696730511,0.6360629745802244,149.21021676495434,124.61300344930936,0.20833333333333334,0.04591449965534304,0.2716057609480614
LSTM,7-Day Rollout,Primavera,Norte Chico,Verano,amparo_del_sol,0.7616993304735353,0.4624148157877,161.21867629130776,142.47468921302902,0.36904761904761907,0.04692688099741735,0.11076802745332562
LSTM,7-Day Rollout,Verano,Norte Chico,Verano,amparo_del_sol,1.297217092190699,0.9193339368075396,150.4979288238184,120.45486073239775,0.10714285714285714,0.059033523931164684,0.5987984907827326
LSTM,Day 1,Raw,Norte Chico,Verano,luna_del_norte,1.0654305506973274,0.699902263081943,142.59644844496657,128.12661667999572,0.125,0.051966930502870434,0.4417329399962909
LSTM,Day 1,Invierno,Norte Chico,Verano,luna_del_norte,0.868753071539586,0.5057219539557991,147.11794149300127,135.75327731045314,0.16666666666666666,0.04874877708201286,0.23411197024136832
LSTM,Day 1,Otoño,Norte Chico,Verano,luna_del_norte,1.1165766862559137,0.720155306548501,151.55009181552134,129.846683240079,0.125,0.05599477999300386,0.433218906854745
LSTM,Day 1,Primavera,Norte Chico,Verano,luna_del_norte,1.0554817500928884,0.6445607929284355,157.0949621358358,135.06651096676947,0.125,0.054270928861236224,0.3523785195846358
LSTM,Day 1,Verano,Norte Chico,Verano,luna_del_norte,1.0653483397369932,0.6953367792690793,126.10231647756495,128.13611202217,0.20833333333333334,0.05017468691027413,0.4415878956361363
LSTM,7-Day Rollout,Raw,Norte Chico,Verano,luna_del_norte,1.0944456756763263,0.7227732367325752,150.50667569270115,132.95920518859947,0.10119047619047619,0.05688659413606815,0.5050128116283477
LSTM,7-Day Rollout,Invierno,Norte Chico,Verano,luna_del_norte,0.6645304900965175,0.36241551050954424,162.15884828564663,190.53310273061373,0.125,0.06190060901403089,0.17060707496170618
LSTM,7-Day Rollout,Otoño,Norte Chico,Verano,luna_del_norte,1.1589659480247592,0.752340323298911,156.7589016699507,136.61973328389934,0.08333333333333333,0.0642339247890465,0.5248455436903854
LSTM,7-Day Rollout,Primavera,Norte Chico,Verano,luna_del_norte,0.945161944744485,0.5398226801771386,175.55827328041397,181.97582556700945,0.047619047619047616,0.07258116527890215,0.3321026136150702
LSTM,7-Day Rollout,Verano,Norte Chico,Verano,luna_del_norte,1.0922342224530228,0.7243330896211168,151.7542867861121,132.69934862040773,0.09523809523809523,0.05846618681347796,0.5023392452093374
LSTM_LOCAL,Day 1,Raw,Norte Chico,Verano,amparo_del_sol,0.5251764556080433,0.26542401980259456,86.77589288739776,50.12240563056908,0.8333333333333334,0.04681282937381184,0.1793947223181022
LSTM_LOCAL,Day 1,Invierno,Norte Chico,Verano,amparo_del_sol,0.44427605504344264,0.2791698861401528,66.19462158286082,80.44098340371782,1.0,0.027615031308960175,0.03310909705469388
LSTM_LOCAL,Day 1,Otoño,Norte Chico,Verano,amparo_del_sol,1.04521069539853,0.646399509976618,149.97429103113825,144.9015506132289,0.625,0.03562687430336761,0.4581819497184673
LSTM_LOCAL,Day 1,Primavera,Norte Chico,Verano,amparo_del_sol,1.237694394683797,0.770784192543033,171.46742774475283,160.35202367663132,0.5,0.03858641561576709,0.7296088637872952
LSTM_LOCAL,Day 1,Verano,Norte Chico,Verano,amparo_del_sol,0.5216872479743209,0.24726283582155398,70.12274922896835,49.78990352524038,0.875,0.04605915387346613,0.17839905798167222
LSTM_LOCAL,7-Day Rollout,Raw,Norte Chico,Verano,amparo_del_sol,0.6981908084671552,0.5159359310426853,106.70217854354786,64.83123848723832,0.6904761904761905,0.05356217543439221,0.13037396281106833
LSTM_LOCAL,7-Day Rollout,Invierno,Norte Chico,Verano,amparo_del_sol,0.4476873004993613,0.27818114774639807,96.3294625758388,159.31193194342495,0.9583333333333334,0.014321101816590055,0.047602730827652776
LSTM_LOCAL,7-Day Rollout,Otoño,Norte Chico,Verano,amparo_del_sol,1.0988632394092577,0.6788074974557097,152.5616882726445,136.63338468402534,0.35714285714285715,0.041842153866253506,0.3778970337211694
LSTM_LOCAL,7-Day Rollout,Primavera,Norte Chico,Verano,amparo_del_sol,1.0293221609797005,0.5336893655294668,190.26805483900796,192.53312838609827,0.27380952380952384,0.026894884919426387,0.5012854771289397
LSTM_LOCAL,7-Day Rollout,Verano,Norte Chico,Verano,amparo_del_sol,0.6955785779701502,0.5162063194717943,107.59189635544305,64.58889667907388,0.6845238095238095,0.05441818834450649,0.13102498640268467
LSTM_LOCAL,Day 1,Raw,Norte Chico,Verano,luna_del_norte,0.3032544939825096,0.1764331286928306,90.33250763006968,36.46879872325079,0.9583333333333334,0.03458770658277596,0.11185112817135334
LSTM_LOCAL,Day 1,Invierno,Norte Chico,Verano,luna_del_norte,0.7214210554105476,0.3994727225569174,104.58121388927997,112.7308504581043,0.8333333333333334,0.03047430688232756,0.09167173860023468
LSTM_LOCAL,Day 1,Otoño,Norte Chico,Verano,luna_del_norte,1.1002835748219897,0.6559455914345259,139.77768891537946,127.95195759749905,0.6666666666666666,0.04090480750116209,0.25084357846256655
LSTM_LOCAL,Day 1,Primavera,Norte Chico,Verano,luna_del_norte,1.3290511947091814,0.7814406325761271,124.97734460716316,170.07428858887215,0.5,0.03907255611100406,0.7423391234776306
LSTM_LOCAL,Day 1,Verano,Norte Chico,Verano,luna_del_norte,0.3033740356678095,0.17458874126896262,72.97662583293416,36.4886938562696,0.9583333333333334,0.03458145076098542,0.11160666916208968
LSTM_LOCAL,7-Day Rollout,Raw,Norte Chico,Verano,luna_del_norte,0.7452242692733562,0.4427419366104351,120.9233076718237,90.53389193448072,0.7976190476190477,0.03718704195094428,0.10666692902949376
LSTM_LOCAL,7-Day Rollout,Invierno,Norte Chico,Verano,luna_del_norte,0.6257936508180478,0.3339387472634761,133.96815161070964,179.42653909253002,0.6309523809523809,0.028158311093985894,0.10531401408799347
LSTM_LOCAL,7-Day Rollout,Otoño,Norte Chico,Verano,luna_del_norte,1.1741647340503611,0.7066264634641362,155.2358035500218,138.41137703028872,0.625,0.040959536387028705,0.39323564910011044
LSTM_LOCAL,7-Day Rollout,Primavera,Norte Chico,Verano,luna_del_norte,1.0906138717652505,0.5193847163396862,112.22952884595412,209.9802692997412,0.5059523809523809,0.025970210202001996,0.49339091633381993
LSTM_LOCAL,7-Day Rollout,Verano,Norte Chico,Verano,luna_del_norte,0.831249792529382,0.5005475978832692,127.48341352602188,100.99143914550102,0.75,0.03779429736840982,0.118652692806652
NHITS,Day 1,Raw,Norte Chico,Verano,amparo_del_sol,1.5182574916621212,1.0457415520310558,131.6035333837915,144.901236596056,0.16666666666666666,0.053391910265296855,0.9927862713807066
NHITS,Day 1,Invierno,Norte Chico,Verano,amparo_del_sol,0.7717833031439121,0.6167712170475473,156.47110618027426,139.73971177311208,0.041666666666666664,0.2096365078080756,0.40884601732638354
NHITS,Day 1,Otoño,Norte Chico,Verano,amparo_del_sol,0.968156776126084,0.7283017107596,147.66935693414408,134.219271497106,0.041666666666666664,0.1887916256052752,0.5397887228988111
NHITS,Day 1,Primavera,Norte Chico,Verano,amparo_del_sol,1.1248293649235188,0.7916184193539569,172.22470005512662,145.72956436670813,0.0,0.14433013986205576,0.6473065712260601
NHITS,Day 1,Verano,Norte Chico,Verano,amparo_del_sol,1.3989691664750254,0.9965553516606936,134.82358560422182,133.51781187683181,0.16666666666666666,0.10181226742018527,0.8945808022132041
NHITS,7-Day Rollout,Raw,Norte Chico,Verano,amparo_del_sol,1.5588600117465297,1.0762038484935947,144.6516768665325,144.74957843062563,0.19642857142857142,0.0547031707756251,1.021970336347845
NHITS,7-Day Rollout,Invierno,Norte Chico,Verano,amparo_del_sol,0.5476367348826423,0.4180041930785159,163.0907009310957,194.87947533921042,0.041666666666666664,0.21674004852947767,0.20395186198217008
NHITS,7-Day Rollout,Otoño,Norte Chico,Verano,amparo_del_sol,1.14893908348651,0.815492954286851,152.7407554107418,142.85984838014713,0.02976190476190476,0.18362599404140612,0.631938158774166
NHITS,7-Day Rollout,Primavera,Norte Chico,Verano,amparo_del_sol,0.9548696175834207,0.5996362569705844,177.8232075559007,178.60689455980625,0.005952380952380952,0.1441708208996516,0.45755446358588003
NHITS,7-Day Rollout,Verano,Norte Chico,Verano,amparo_del_sol,1.4520948786380072,1.0494287727857183,160.37426149081105,134.83624863528703,0.05357142857142857,0.11346651652508215,0.9361953637155335
NHITS,Day 1,Raw,Norte Chico,Verano,luna_del_norte,1.3099440867564867,0.8295025317153583,118.62158621018264,157.5313414527343,0.16666666666666666,0.04271951239012803,0.7873866569056798
NHITS,Day 1,Invierno,Norte Chico,Verano,luna_del_norte,1.0055915446362456,0.707455783564607,156.12599619878537,157.13595990875388,0.041666666666666664,0.2152504622363267,0.49391497290277275
NHITS,Day 1,Otoño,Norte Chico,Verano,luna_del_norte,1.1961923161831436,0.871031353638197,152.67310417852687,139.10518344644188,0.041666666666666664,0.19732342588637644,0.6743233524146489
NHITS,Day 1,Primavera,Norte Chico,Verano,luna_del_norte,1.1646281544762884,0.8381311019365967,163.6087993322579,149.03361558353484,0.0,0.2230552990336946,0.6153670539836337
NHITS,Day 1,Verano,Norte Chico,Verano,luna_del_norte,1.1336162384965567,0.7970467725147804,126.5745178746258,136.34711944264728,0.16666666666666666,0.14666177428637941,0.6494014211930333
NHITS,7-Day Rollout,Raw,Norte Chico,Verano,luna_del_norte,1.3004315941696212,0.8224133767233157,135.53138660488602,157.983493384528,0.19642857142857142,0.04204004588346358,0.7808820826637851
NHITS,7-Day Rollout,Invierno,Norte Chico,Verano,luna_del_norte,0.7313336599032566,0.48516452063267934,164.70689533072726,209.6867990699185,0.041666666666666664,0.21953690326187955,0.2684996073972624
NHITS,7-Day Rollout,Otoño,Norte Chico,Verano,luna_del_norte,1.2013827566179174,0.8625374986374206,156.29113935300708,141.6198569602057,0.02976190476190476,0.18676650355410634,0.6757543706649164
