Model,Horizon,Window,Macrozona,Estacion,Planta,RMSE,MAE,sMAPE,rRMSE,Coverage_90,Pinball_P05,Pinball_P95
INFORMER,Day 1,Raw,Norte Grande,Invierno,pfv_andes_solar_ii,2.7193233408411115,2.5066928823168078,174.78301853743645,9192.078694123467,0.125,0.679756261051322,1.0747198736139894
INFORMER,Day 1,Invierno,Norte Grande,Invierno,pfv_andes_solar_ii,2.812219815638934,2.6716018253937364,183.14211889269083,5028.034330748551,0.08333333333333333,0.8754121571934471,1.0836535291591047
INFORMER,Day 1,Otoño,Norte Grande,Invierno,pfv_andes_solar_ii,19.7782263206617,13.796493002679199,173.08057451371386,142.9019608857692,0.25,1.0758083479711786,3.898539182986133
INFORMER,Day 1,Primavera,Norte Grande,Invierno,pfv_andes_solar_ii,18.82738049761031,13.612033960409462,169.26601506238566,138.61498583710917,0.20833333333333334,0.9949278044980021,3.0497757209930576
INFORMER,Day 1,Verano,Norte Grande,Invierno,pfv_andes_solar_ii,37.53799555907472,26.922727418132126,183.3466343672879,138.59116835958184,0.08333333333333333,1.6790693760694317,15.414096511512374
INFORMER,7-Day Rollout,Raw,Norte Grande,Invierno,pfv_andes_solar_ii,13.616197731721043,8.58314221684954,157.49675038104814,167.53881272679683,0.17261904761904762,1.1984461594040372,4.751335466730719
INFORMER,7-Day Rollout,Invierno,Norte Grande,Invierno,pfv_andes_solar_ii,13.58633318915118,8.60061410969744,157.5858319682143,167.09351214642177,0.16666666666666666,1.239160897443071,4.972513981400768
INFORMER,7-Day Rollout,Otoño,Norte Grande,Invierno,pfv_andes_solar_ii,26.899426889524065,18.336662021044287,173.44819910493757,145.80952377919775,0.10119047619047619,1.73369625937748,12.196793629635968
INFORMER,7-Day Rollout,Primavera,Norte Grande,Invierno,pfv_andes_solar_ii,20.927495042562704,14.460397587556924,168.19770974967716,144.8633559451208,0.10714285714285714,1.5090245099871287,8.251134110521525
INFORMER,7-Day Rollout,Verano,Norte Grande,Invierno,pfv_andes_solar_ii,36.0148646385504,25.49518104786763,170.50461773016724,139.32153159572525,0.10119047619047619,1.967666331823871,18.96608264338159
LSTM,Day 1,Raw,Norte Grande,Invierno,pfv_andes_solar_ii,12.609429190764718,8.567636903064946,174.9566042088169,42623.42166843456,0.4166666666666667,1.7933126443531364,1.454227203425642
LSTM,Day 1,Invierno,Norte Grande,Invierno,pfv_andes_solar_ii,12.709446607056835,8.709129634934166,183.29100302367968,22723.520227588833,0.375,1.7967159619089215,1.4951679569203418
LSTM,Day 1,Otoño,Norte Grande,Invierno,pfv_andes_solar_ii,10.337105934165539,6.642316116796185,123.79660153404421,74.68782508232292,0.7916666666666666,0.7935820633778348,1.017013972943339
LSTM,Day 1,Primavera,Norte Grande,Invierno,pfv_andes_solar_ii,7.323135165128462,4.884220130431156,112.86982558346408,53.91595911743327,0.875,0.7579809735994787,1.2303661362423262
LSTM,Day 1,Verano,Norte Grande,Invierno,pfv_andes_solar_ii,26.56466084047624,18.680819866247475,146.68102070696705,98.07735677212014,0.7083333333333334,1.3263012094578395,3.462640356381114
LSTM,7-Day Rollout,Raw,Norte Grande,Invierno,pfv_andes_solar_ii,8.193679912321036,5.314953972319407,122.67131809944642,100.81811614527419,0.75,0.8063465123220036,1.6576531440440936
LSTM,7-Day Rollout,Invierno,Norte Grande,Invierno,pfv_andes_solar_ii,9.048586262117947,5.9438119464598245,124.25287860823045,111.28536577510593,0.7142857142857143,0.8910461751145443,1.767095906311825
LSTM,7-Day Rollout,Otoño,Norte Grande,Invierno,pfv_andes_solar_ii,11.855786089714487,8.349083863176583,116.42949901607756,64.26480872135384,0.7619047619047619,1.2318905666082476,1.4147984146173789
LSTM,7-Day Rollout,Primavera,Norte Grande,Invierno,pfv_andes_solar_ii,8.765218535737,5.924497729876921,113.87899126424095,60.67419775261118,0.7619047619047619,0.9474035134139872,1.9092805808099622
LSTM,7-Day Rollout,Verano,Norte Grande,Invierno,pfv_andes_solar_ii,17.621968281247746,12.322211710847027,111.25250881184883,68.16961927566875,0.8035714285714286,1.403735315341813,1.9981174943891056
LSTM_LOCAL,Day 1,Raw,Norte Grande,Invierno,pfv_andes_solar_ii,2.955716765231522,2.463775484201809,174.80922743086526,9991.155040483172,0.9583333333333334,0.0014791666995733978,3.4513898010520925
LSTM_LOCAL,Day 1,Invierno,Norte Grande,Invierno,pfv_andes_solar_ii,3.0060838186271064,2.602732080655793,183.14262216490908,5374.648367496388,0.9583333333333334,0.0027965399902313945,3.6441387014308355
LSTM_LOCAL,Day 1,Otoño,Norte Grande,Invierno,pfv_andes_solar_ii,21.21343429556958,13.766129470275095,187.68722559198562,153.2716487722393,0.5,0.6920208161619182,11.244935898428471
LSTM_LOCAL,Day 1,Primavera,Norte Grande,Invierno,pfv_andes_solar_ii,20.651174440249967,13.576563961338252,186.23692156254492,152.0425134509952,0.5,0.679125001669551,12.798324470827355
