Model,Horizon,Window,Macrozona,Estacion,Planta,RMSE,MAE,sMAPE,rRMSE,Coverage_90,Pinball_P05,Pinball_P95
INFORMER,Day 1,Raw,Norte Grande,Verano,conejo_solar,54.357338309385554,37.74906783302625,171.84971877452824,141.97149985652885,0.20833333333333334,2.373861518998941,18.043661038577557
INFORMER,Day 1,Invierno,Norte Grande,Verano,conejo_solar,37.87156950143861,24.90126569569111,162.2006677152993,153.89733639208842,0.16666666666666666,1.8913316515584786,10.039694473892451
INFORMER,Day 1,Otoño,Norte Grande,Verano,conejo_solar,58.26056913919193,40.54755514053007,183.1597947006176,143.52839861797668,0.08333333333333333,2.768214190782358,22.34964228629445
INFORMER,Day 1,Primavera,Norte Grande,Verano,conejo_solar,25.295514424720366,17.25633163439731,170.95824737922857,150.12174828247547,0.2916666666666667,1.4397970276884735,3.647340687705826
INFORMER,Day 1,Verano,Norte Grande,Verano,conejo_solar,54.36934893959444,37.798636923233666,172.43037158141297,142.00286944227406,0.16666666666666666,2.4750203723708792,18.955328298111755
INFORMER,7-Day Rollout,Raw,Norte Grande,Verano,conejo_solar,58.73542573901523,42.08850016196569,174.9132614281986,137.64195183121595,0.07142857142857142,3.3994999134824386,30.14395457832586
INFORMER,7-Day Rollout,Invierno,Norte Grande,Verano,conejo_solar,32.303052667341845,20.974018890233268,163.9686896009241,157.74992302189582,0.1130952380952381,2.528750779870011,12.516008181586152
INFORMER,7-Day Rollout,Otoño,Norte Grande,Verano,conejo_solar,57.805899168131226,40.278870234532015,182.64255362432098,143.37542533560725,0.041666666666666664,3.5219929743558165,29.53829422584247
INFORMER,7-Day Rollout,Primavera,Norte Grande,Verano,conejo_solar,47.79085821926121,32.584502170838064,176.78604724444074,147.4945175681621,0.07142857142857142,3.1424158306881074,23.27285390604465
INFORMER,7-Day Rollout,Verano,Norte Grande,Verano,conejo_solar,58.71048792958743,42.07461851551419,174.99153359703033,137.58351199323317,0.07142857142857142,3.4034721039590385,31.26948196178391
INFORMER,Day 1,Raw,Norte Grande,Verano,lalackama,30.59942217329462,22.386488169431686,177.61879536575543,134.7373866248123,0.125,1.3663564023872217,10.813310846189658
