Model,Horizon,Window,Macrozona,Estacion,Planta,RMSE,MAE,sMAPE,rRMSE,Coverage_90,Pinball_P05,Pinball_P95
INFORMER,Day 1,Raw,Zona Central,Invierno,altos_de_til_til,0.5446708162027107,0.3654760089702904,162.15391533270986,183.83924182284204,0.375,0.04047785783962657,0.06681992864081021
INFORMER,Day 1,Invierno,Zona Central,Invierno,altos_de_til_til,0.545391269990727,0.3661276342657705,162.2953613516019,184.0824119619743,0.375,0.04177636885239432,0.06473658338654792
INFORMER,Day 1,Otoño,Zona Central,Invierno,altos_de_til_til,0.7974444532324269,0.5554206905080719,170.53550201435883,151.94237158444608,0.25,0.05181564922860767,0.08996280726573791
INFORMER,Day 1,Primavera,Zona Central,Invierno,altos_de_til_til,0.833651381868621,0.560733198809127,167.11161524340443,156.23318087481448,0.3333333333333333,0.04957240875810385,0.11252433327026672
INFORMER,Day 1,Verano,Zona Central,Invierno,altos_de_til_til,0.9530965964632808,0.6643332410603762,169.04587727519254,146.6280318855671,0.25,0.050752935900042456,0.12472866810858253
INFORMER,7-Day Rollout,Raw,Zona Central,Invierno,altos_de_til_til,0.508866110220017,0.33368591865685704,150.59184171201062,189.33681002724225,0.2781954887218045,0.06779100750039044,0.12314333837397076
INFORMER,7-Day Rollout,Invierno,Zona Central,Invierno,altos_de_til_til,0.5227463011202117,0.3428018647674471,147.44773418264242,182.80196840914851,0.296,0.059344544630404554,0.12079794340254742
INFORMER,7-Day Rollout,Otoño,Zona Central,Invierno,altos_de_til_til,0.7387249130758842,0.5239816507344672,168.59494612179856,150.66352139913423,0.13095238095238096,0.09224534545506426,0.21672415911496157
INFORMER,7-Day Rollout,Primavera,Zona Central,Invierno,altos_de_til_til,0.8331257613071968,0.5727922687573093,168.45633179708918,154.9261762767774,0.13690476190476192,0.09399270030137682,0.2548507825294066
INFORMER,7-Day Rollout,Verano,Zona Central,Invierno,altos_de_til_til,0.8309577230825621,0.587799583608839,167.2479339885156,146.29353798122744,0.13095238095238096,0.09138033626021795,0.265933681802874
INFORMER,Day 1,Raw,Zona Central,Invierno,las_perdices,0.5667277791105583,0.4580438384534015,151.0657024205071,148.42458322053605,0.4166666666666667,0.04968138111532122,0.1378243755505538
INFORMER,Day 1,Invierno,Zona Central,Invierno,las_perdices,0.5495730599141416,0.4398047320234279,149.5260066522809,157.88071205996403,0.375,0.06882914314822604,0.11932436925514302
INFORMER,Day 1,Operational,Zona Central,Invierno,las_perdices,0.5809474012874485,0.48445790947880596,152.29504713065663,138.02875932617377,0.4166666666666667,0.06069831249575752,0.12553656340460304
INFORMER,Day 1,Otoño,Zona Central,Invierno,las_perdices,1.1605967701041708,0.903900512115797,161.56710838033402,127.97700022978948,0.5,0.09119007562355062,0.09456774874561243
INFORMER,Day 1,Primavera,Zona Central,Invierno,las_perdices,0.5809474012874485,0.48445790947880596,152.29504713065663,138.02875932617377,0.4166666666666667,0.06069831249575752,0.12553656340460304
