Model,Horizon,Window,Macrozona,Estacion,Planta,RMSE,MAE,sMAPE,rRMSE,Coverage_90,Pinball_P05,Pinball_P95
INFORMER,Day 1,Raw,Zona Central,Otoño,crucero,0.3105140771446236,0.310487079123656,200.0,0.0,0.0,0.08707599705085158,0.13266291022300733
INFORMER,Day 1,Invierno,Zona Central,Otoño,crucero,0.40591292097857057,0.33144215820357203,163.11131832091706,278.8271695588994,0.2916666666666667,0.05407863553458203,0.130231257256431
INFORMER,Day 1,Operational,Zona Central,Otoño,crucero,0.40591292097857057,0.33144215820357203,163.11131832091706,278.8271695588994,0.2916666666666667,0.05407863553458203,0.130231257256431
INFORMER,Day 1,Otoño,Zona Central,Otoño,crucero,0.9974033467091722,0.7863209099159576,161.17768677248995,127.75506918674635,0.5,0.07942483949106342,0.0928515288387038
INFORMER,Day 1,Primavera,Zona Central,Otoño,crucero,0.614584909866898,0.49981595932816464,167.4876987182102,153.35220130872673,0.3333333333333333,0.056781043740920724,0.11811041129597784
INFORMER,Day 1,Verano,Zona Central,Otoño,crucero,1.3695320469388568,1.0171540219647188,161.5449149564964,134.24787862762227,0.5,0.075105878796118,0.09114090658258656
INFORMER,7-Day Rollout,Raw,Zona Central,Otoño,crucero,0.32352952976139215,0.3205197661050728,196.42857142857142,0.0,0.017857142857142856,0.20937261969028484,0.06987200206411741
INFORMER,7-Day Rollout,Invierno,Zona Central,Otoño,crucero,0.527720241132975,0.4095205224377831,152.73961425093572,187.53382294269912,0.19047619047619047,0.1298767153359583,0.1926902890100795
INFORMER,7-Day Rollout,Operational,Zona Central,Otoño,crucero,0.527720241132975,0.4095205224377831,152.73961425093572,187.53382294269912,0.19047619047619047,0.1298767153359583,0.1926902890100795
INFORMER,7-Day Rollout,Otoño,Zona Central,Otoño,crucero,0.9695635200467736,0.7672373615401046,160.74794707817662,128.93528084098455,0.26785714285714285,0.13477020320080468,0.28175139139903405
INFORMER,7-Day Rollout,Primavera,Zona Central,Otoño,crucero,0.904905726913333,0.6457659314263808,161.5393983462967,157.42162359799937,0.1488095238095238,0.1339829924020597,0.29708736694733495
INFORMER,7-Day Rollout,Verano,Zona Central,Otoño,crucero,1.3237799873792404,0.98823778161646,157.9887565597178,131.87936335821206,0.1488095238095238,0.13264216422602268,0.4369142430562836
INFORMER,Day 1,Raw,Zona Central,Otoño,fotovolt_solar_i,0.15221350411945328,0.1470518576388713,155.00588885859904,189.45040026364154,0.3333333333333333,0.029863630640223463,0.05779925078046901
INFORMER,Day 1,Invierno,Zona Central,Otoño,fotovolt_solar_i,0.26448218387514716,0.21781225765395598,164.79287445624132,164.61202302866582,0.3333333333333333,0.03610350894596195,0.05256152594568756
INFORMER,Day 1,Operational,Zona Central,Otoño,fotovolt_solar_i,0.27016497975705606,0.22414848130271517,160.19643531845657,146.45855496580472,0.375,0.03963345485065778,0.04936109827028005
INFORMER,Day 1,Otoño,Zona Central,Otoño,fotovolt_solar_i,0.27016497975705606,0.22414848130271517,160.19643531845657,146.45855496580472,0.375,0.03963345485065778,0.04936109827028005
INFORMER,Day 1,Primavera,Zona Central,Otoño,fotovolt_solar_i,0.29455039461219196,0.2365218756046185,160.64605118401474,149.72343612235187,0.375,0.033571790551044006,0.05248537948949286
INFORMER,Day 1,Verano,Zona Central,Otoño,fotovolt_solar_i,0.3092635179866612,0.2523784918400149,151.7965641003512,130.16845855395783,0.4583333333333333,0.030903497672018904,0.05097057093710953
INFORMER,7-Day Rollout,Raw,Zona Central,Otoño,fotovolt_solar_i,0.22974752438894677,0.1927312559595618,160.14744522688687,177.19714838422655,0.17261904761904762,0.06722215253065136,0.07888514071044923
INFORMER,7-Day Rollout,Invierno,Zona Central,Otoño,fotovolt_solar_i,0.18914443089856461,0.15793575797279402,152.09366180962093,215.2470922910484,0.23809523809523808,0.0699541170845687,0.029102758144452352
INFORMER,7-Day Rollout,Operational,Zona Central,Otoño,fotovolt_solar_i,0.23453679290434026,0.19764060235421457,159.64469875502456,166.07809236926678,0.22023809523809523,0.07288129951769606,0.04552095748003782
INFORMER,7-Day Rollout,Otoño,Zona Central,Otoño,fotovolt_solar_i,0.23453679290434026,0.19764060235421457,159.64469875502456,166.07809236926678,0.22023809523809523,0.07288129951769606,0.04552095748003782
INFORMER,7-Day Rollout,Primavera,Zona Central,Otoño,fotovolt_solar_i,0.2613568562724345,0.20776572955986694,160.1756316823952,174.1878119454322,0.17261904761904762,0.0674825756976882,0.07042931967962258
INFORMER,7-Day Rollout,Verano,Zona Central,Otoño,fotovolt_solar_i,0.27680056290102095,0.2229123532722226,144.16015148409736,134.1645375118806,0.25,0.06016176863853957,0.06118780407940976
INFORMER,Day 1,Raw,Zona Central,Otoño,gr_santa_rosa,1.0683934010745548,0.972101417201884,157.5294422062793,194.88750307620137,0.25,0.2479880310393582,0.32823776128481497
INFORMER,Day 1,Invierno,Zona Central,Otoño,gr_santa_rosa,2.7357079091226613,2.094791153756281,169.63885495704523,144.56780915828807,0.4166666666666667,0.2028242309422543,0.31496928630707194
INFORMER,Day 1,Operational,Zona Central,Otoño,gr_santa_rosa,2.4683826901475294,1.9683344606395015,168.59467952397716,138.72163063666935,0.4166666666666667,0.2320790158354915,0.3000673584333832
INFORMER,Day 1,Otoño,Zona Central,Otoño,gr_santa_rosa,2.4683826901475294,1.9683344606395015,168.59467952397716,138.72163063666935,0.4166666666666667,0.2320790158354915,0.3000673584333832
INFORMER,Day 1,Primavera,Zona Central,Otoño,gr_santa_rosa,2.6653122653084775,1.8530692006461322,158.54724843443864,161.80500695923283,0.375,0.19053820215631276,0.3266205589985478
INFORMER,Day 1,Verano,Zona Central,Otoño,gr_santa_rosa,5.051856769461529,3.8145822615673146,165.5267940223313,129.23503493716674,0.16666666666666666,0.27888426454737786,0.6230841033471128
INFORMER,7-Day Rollout,Raw,Zona Central,Otoño,gr_santa_rosa,2.6273669771166026,1.9061600319652523,163.83193719026744,159.0861009903832,0.19642857142857142,0.45007881027635055,0.6544387085201923
INFORMER,7-Day Rollout,Invierno,Zona Central,Otoño,gr_santa_rosa,1.830631390993592,1.3298379118948236,151.10070258554006,184.21754486413468,0.23809523809523808,0.4029883388602337,0.2718578402662302
INFORMER,7-Day Rollout,Operational,Zona Central,Otoño,gr_santa_rosa,2.1037587031116685,1.5324965624347984,159.5204878288832,169.9037115534442,0.17261904761904762,0.42087359638344857,0.37828529589470644
INFORMER,7-Day Rollout,Otoño,Zona Central,Otoño,gr_santa_rosa,2.1037587031116685,1.5324965624347984,159.5204878288832,169.9037115534442,0.17261904761904762,0.42087359638344857,0.37828529589470644
INFORMER,7-Day Rollout,Primavera,Zona Central,Otoño,gr_santa_rosa,3.3362411481143783,2.3293481160263974,161.77970831834884,152.74043483926366,0.16666666666666666,0.40561618099438335,1.229580239240914
INFORMER,7-Day Rollout,Verano,Zona Central,Otoño,gr_santa_rosa,4.69467273029061,3.52224436507649,162.17231539194134,130.66720684861568,0.07738095238095238,0.41973358743790806,1.736020692135762
LSTM,Day 1,Raw,Zona Central,Otoño,crucero,0.9364193414373705,0.7185252904891968,200.0,0.0,0.0,0.19361986645186943,0.08440429009497173
LSTM,Day 1,Invierno,Zona Central,Otoño,crucero,0.8185268769828387,0.6142090243908266,173.5864962004472,562.2573722630012,0.125,0.12937268620201695,0.07432064759389813
LSTM,Day 1,Operational,Zona Central,Otoño,crucero,0.8185268769828387,0.6142090243908266,173.5864962004472,562.2573722630012,0.125,0.12937268620201695,0.07432064759389813
LSTM,Day 1,Otoño,Zona Central,Otoño,crucero,0.521815471063054,0.3811731599853374,122.66324384379028,66.83812705093469,0.5,0.05525050702757047,0.14473919254087383
LSTM,Day 1,Primavera,Zona Central,Otoño,crucero,0.5366333416675142,0.43638627463951707,148.26433179206225,133.90160239728948,0.4166666666666667,0.06759388993959875,0.0692637447811043
LSTM,Day 1,Verano,Zona Central,Otoño,crucero,0.8554140643591992,0.6665260470472276,133.73051601481978,83.85165118635723,0.375,0.06642709106672555,0.21708754947564257
LSTM,7-Day Rollout,Raw,Zona Central,Otoño,crucero,0.8016268411373741,0.6375328412368184,196.42857142857142,0.0,0.017857142857142856,0.201264989855034,0.07011222124454528
LSTM,7-Day Rollout,Invierno,Zona Central,Otoño,crucero,0.5510135854674143,0.43361276455947956,148.51202667797264,195.811485180516,0.26785714285714285,0.09991859831444447,0.051052527695724305
LSTM,7-Day Rollout,Operational,Zona Central,Otoño,crucero,0.5510135854674143,0.43361276455947956,148.51202667797264,195.811485180516,0.26785714285714285,0.09991859831444447,0.051052527695724305
LSTM,7-Day Rollout,Otoño,Zona Central,Otoño,crucero,0.5035266307092829,0.40374204607065795,124.27246226999542,66.96038598717506,0.4107142857142857,0.06907992505421134,0.0853527354795872
LSTM,7-Day Rollout,Primavera,Zona Central,Otoño,crucero,0.659053776564133,0.5295709390558321,143.4590364800438,114.65207088368388,0.30357142857142855,0.09920362027814701,0.06839602475813648
LSTM,7-Day Rollout,Verano,Zona Central,Otoño,crucero,0.866615386248863,0.6642116905921804,131.17594475718175,86.33510591227072,0.3273809523809524,0.06989426639296914,0.16911638746692226
LSTM,Day 1,Raw,Zona Central,Otoño,fotovolt_solar_i,0.4263779413651028,0.29873071906816523,172.9248128954836,530.6853168022077,0.5833333333333334,0.026722939220780968,0.04675716347264828
LSTM,Day 1,Invierno,Zona Central,Otoño,fotovolt_solar_i,0.2700748790790628,0.20074644078461765,154.2493461049599,168.09288082487137,0.5833333333333334,0.026910165261263802,0.03838101647900964
LSTM,Day 1,Operational,Zona Central,Otoño,fotovolt_solar_i,0.2497397259240762,0.18816049411968075,147.0191770707065,135.38586462719,0.6666666666666666,0.020167975828765825,0.039868394463671124
LSTM,Day 1,Otoño,Zona Central,Otoño,fotovolt_solar_i,0.2497397259240762,0.18816049411968075,147.0191770707065,135.38586462719,0.6666666666666666,0.020167975828765825,0.039868394463671124
LSTM,Day 1,Primavera,Zona Central,Otoño,fotovolt_solar_i,0.24607450310810924,0.14856034311863672,134.3427550918091,125.08256930347858,0.6666666666666666,0.02478564341666545,0.03051420945957946
LSTM,Day 1,Verano,Zona Central,Otoño,fotovolt_solar_i,0.18919928930625832,0.12111464096233249,118.12981478285234,79.63364062088364,0.7916666666666666,0.016211462354597944,0.03337958971193684
LSTM,7-Day Rollout,Raw,Zona Central,Otoño,fotovolt_solar_i,0.30707158687257813,0.19973354454606623,156.36922642405696,236.83480241347024,0.6190476190476191,0.026751641701899115,0.0368920893200639
LSTM,7-Day Rollout,Invierno,Zona Central,Otoño,fotovolt_solar_i,0.4122313806048984,0.2841150249155477,165.6690690290981,469.1209019731294,0.5654761904761905,0.032011829182176606,0.045150064128520136
LSTM,7-Day Rollout,Operational,Zona Central,Otoño,fotovolt_solar_i,0.2872221878823729,0.19932031947382034,154.39230489067734,203.38520220615192,0.6785714285714286,0.02259341310918364,0.03872336880023136
LSTM,7-Day Rollout,Otoño,Zona Central,Otoño,fotovolt_solar_i,0.2872221878823729,0.19932031947382034,154.39230489067734,203.38520220615192,0.6785714285714286,0.02259341310918364,0.03872336880023136
LSTM,7-Day Rollout,Primavera,Zona Central,Otoño,fotovolt_solar_i,0.2759543803635616,0.18331619240646682,147.95553497027126,183.9166968789259,0.4226190476190476,0.03314130056893053,0.029626312066642034
LSTM,7-Day Rollout,Verano,Zona Central,Otoño,fotovolt_solar_i,0.20798681353933668,0.13578251650324633,124.29617266468867,100.8106860572137,0.7619047619047619,0.01341877265492902,0.03275000998969331
LSTM,Day 1,Raw,Zona Central,Otoño,gr_santa_rosa,2.9400796983769233,2.1767701799850934,174.3813171013137,536.3050639262847,0.5416666666666666,0.2550855964220773,0.38655203516374703
LSTM,Day 1,Invierno,Zona Central,Otoño,gr_santa_rosa,1.1376613869819527,0.7289670069391528,130.31428257079784,60.119435167588996,0.6666666666666666,0.17487409029466408,0.24108489315646411
LSTM,Day 1,Operational,Zona Central,Otoño,gr_santa_rosa,0.8721697755733641,0.5686840607559134,124.43335520925834,49.01541966830264,0.6666666666666666,0.13904361614725835,0.21477803535181028
LSTM,Day 1,Otoño,Zona Central,Otoño,gr_santa_rosa,0.8721697755733641,0.5686840607559134,124.43335520925834,49.01541966830264,0.6666666666666666,0.13904361614725835,0.21477803535181028
