Model,Horizon,Window,Macrozona,Estacion,Planta,RMSE,MAE,sMAPE,rRMSE,Coverage_90,Pinball_P05,Pinball_P95
INFORMER,Day 1,Raw,Zona Central,Primavera,donihue,1.4374879849894715,1.084941493448518,160.9543551937533,142.36795510763477,0.43478260869565216,0.10076087954879291,0.2029723561338515
INFORMER,Day 1,Invierno,Zona Central,Primavera,donihue,1.049379089284355,0.7544073059689254,147.22600519505934,166.7580914834675,0.4166666666666667,0.10005076519446447,0.1921032068358426
INFORMER,Day 1,Otoño,Zona Central,Primavera,donihue,3.0254275229543075,2.0956584259402007,172.61387182610662,147.23899629286967,0.20833333333333334,0.1697745169008461,0.4921108788228595
INFORMER,Day 1,Primavera,Zona Central,Primavera,donihue,1.413233662166368,1.0661561886663549,162.65351865957174,146.05129189581007,0.4166666666666667,0.11469025706852942,0.18849716981349063
INFORMER,Day 1,Verano,Zona Central,Primavera,donihue,4.511386068347736,3.4070394285954535,174.58673254866605,129.76312442338985,0.125,0.21419583519455046,1.1669207197846845
INFORMER,7-Day Rollout,Raw,Zona Central,Primavera,donihue,1.2164756753364638,0.901471471514352,163.3342194804618,168.494666589868,0.2215568862275449,0.2547570774532453,0.27643148476915985
INFORMER,7-Day Rollout,Invierno,Zona Central,Primavera,donihue,1.6257011185278278,1.0851300001204003,154.01931260327305,170.12381791239136,0.22023809523809523,0.22049520490209465,0.5032462037719684
INFORMER,7-Day Rollout,Otoño,Zona Central,Primavera,donihue,3.523846609514999,2.5215505590437846,173.1226904392035,140.12962500885692,0.06547619047619048,0.2871571193887836,1.441228430603085
INFORMER,7-Day Rollout,Primavera,Zona Central,Primavera,donihue,1.2119334908372628,0.8977816092249539,163.43403593925845,168.87070908908632,0.19047619047619047,0.24971623572942225,0.2724824983349426
INFORMER,7-Day Rollout,Verano,Zona Central,Primavera,donihue,3.890353459614327,2.730958136315555,167.72147776430418,141.1417680467452,0.05357142857142857,0.29296472941721935,1.5278161700053434
INFORMER,Day 1,Raw,Zona Central,Primavera,pfv_jose_soler_mallafre,0.27542018022255776,0.1791642358445603,151.28296081808762,165.8325797443805,0.391304347826087,0.018537322439901204,0.038847716387523296
INFORMER,Day 1,Invierno,Zona Central,Primavera,pfv_jose_soler_mallafre,0.3273973546707653,0.22436484571395945,158.7105376776063,157.05135959164159,0.4583333333333333,0.02041336552035015,0.03245477763369614
INFORMER,Day 1,Otoño,Zona Central,Primavera,pfv_jose_soler_mallafre,0.419209788194565,0.26106760765833315,182.0858456816435,189.30398446930408,0.125,0.029195112251666915,0.06561945463690794
INFORMER,Day 1,Primavera,Zona Central,Primavera,pfv_jose_soler_mallafre,0.27037028842989114,0.17585224208111563,153.28060532869446,169.86991470204939,0.375,0.020265630694727102,0.03910074697341773
INFORMER,Day 1,Verano,Zona Central,Primavera,pfv_jose_soler_mallafre,0.49896331513740727,0.29584907585134107,181.86351053956275,196.19617586549106,0.125,0.02780875513950984,0.09558674627915027
INFORMER,7-Day Rollout,Raw,Zona Central,Primavera,pfv_jose_soler_mallafre,0.4784878009253674,0.29515242407030096,161.93861406678604,169.8876677378893,0.16167664670658682,0.044685426400922115,0.16608222561948002
INFORMER,7-Day Rollout,Invierno,Zona Central,Primavera,pfv_jose_soler_mallafre,0.3078749593782562,0.1977261659628225,161.03793246813493,184.90825164186612,0.19642857142857142,0.04225586863454585,0.0797073916688565
INFORMER,7-Day Rollout,Otoño,Zona Central,Primavera,pfv_jose_soler_mallafre,0.6143423099710317,0.4219741247655975,173.66959899947406,148.22285823469667,0.06547619047619048,0.050442404987911096,0.24069489840360211
INFORMER,7-Day Rollout,Primavera,Zona Central,Primavera,pfv_jose_soler_mallafre,0.47661119221756076,0.2934371107919668,161.98320284377854,170.23467721499244,0.14285714285714285,0.04451030151597349,0.1723601207802165
INFORMER,7-Day Rollout,Verano,Zona Central,Primavera,pfv_jose_soler_mallafre,0.492278946644186,0.30455723556224257,173.58206273403815,177.47687123450572,0.05952380952380952,0.046912643044821116,0.17636375261187953
INFORMER,Day 1,Raw,Zona Central,Primavera,pfv_villa_seca,1.3217434520648768,0.9531553542086234,165.65683384156563,135.88767017129862,0.20833333333333334,0.07115289816089597,0.21253175042802472
INFORMER,Day 1,Invierno,Zona Central,Primavera,pfv_villa_seca,0.4961526042214767,0.36684757506342675,156.78457795555858,157.67531940941427,0.4166666666666667,0.04034695714679704,0.0764745864572585
INFORMER,Day 1,Otoño,Zona Central,Primavera,pfv_villa_seca,1.2600334830675128,0.9194590062252246,171.7287470215105,136.76291963520976,0.16666666666666666,0.07099406497145537,0.16479617942920113
INFORMER,Day 1,Primavera,Zona Central,Primavera,pfv_villa_seca,1.3219110053260321,0.9551440140154833,166.17999073757403,135.89656649476933,0.16666666666666666,0.06959727096254938,0.22145201094099323
INFORMER,Day 1,Verano,Zona Central,Primavera,pfv_villa_seca,1.3150464700897766,0.9124294084807237,174.35286960068055,147.7611877267882,0.16666666666666666,0.06841135326152047,0.23122736038640146
INFORMER,7-Day Rollout,Raw,Zona Central,Primavera,pfv_villa_seca,1.3364044022667523,0.9602683557729635,170.2205113906749,138.42980565879085,0.09523809523809523,0.10527783121824974,0.5182466238049702
INFORMER,7-Day Rollout,Invierno,Zona Central,Primavera,pfv_villa_seca,0.5315109989624072,0.3654257506161143,155.90519860472,177.45486289697604,0.21428571428571427,0.08326992940982823,0.15177515916124368
INFORMER,7-Day Rollout,Otoño,Zona Central,Primavera,pfv_villa_seca,1.19188752585469,0.8536229341532037,168.75729801099754,139.82815168144677,0.08928571428571429,0.10387343323042539,0.43052751816375395
INFORMER,7-Day Rollout,Primavera,Zona Central,Primavera,pfv_villa_seca,1.335408195314785,0.9593935322094088,170.14527831091476,138.32578870291448,0.08928571428571429,0.10243317685782954,0.5395685521339709
INFORMER,7-Day Rollout,Verano,Zona Central,Primavera,pfv_villa_seca,1.2040412529478606,0.8424828523334327,161.06051685942558,140.75347144548294,0.10119047619047619,0.09685929558136953,0.42348079564674646
LSTM,Day 1,Raw,Zona Central,Primavera,donihue,0.8896760476533224,0.7392926177455356,133.685156893981,88.1129866372927,0.2608695652173913,0.15738384200806693,0.1478334341370299
LSTM,Day 1,Invierno,Zona Central,Primavera,donihue,0.8446030360096195,0.7392614031365762,139.05968671329626,134.21688290182928,0.375,0.14516874022083356,0.09713317848509186
LSTM,Day 1,Otoño,Zona Central,Primavera,donihue,2.3530122584125537,1.7283967901797344,147.9416497047543,114.51444814489294,0.25,0.19974197141127661,0.6115081788079503
LSTM,Day 1,Primavera,Zona Central,Primavera,donihue,0.8767688121442431,0.7308058031097365,136.14027713295957,90.61008178316862,0.25,0.15512964596952467,0.137229134143369
LSTM,Day 1,Verano,Zona Central,Primavera,donihue,3.4995723192343515,2.6729939255552986,145.90897816760247,100.65984852761112,0.125,0.216434831211033,1.098702587179529
LSTM,7-Day Rollout,Raw,Zona Central,Primavera,donihue,0.9465477807104571,0.7685551357617278,145.70076133826726,131.10681615403058,0.25748502994011974,0.2230963079571099,0.10021877543008084
LSTM,7-Day Rollout,Invierno,Zona Central,Primavera,donihue,1.1079550356229548,0.8811624859829733,139.66688693939088,115.94353881365689,0.31547619047619047,0.17736711530420246,0.07974301173675317
LSTM,7-Day Rollout,Otoño,Zona Central,Primavera,donihue,2.664620138679732,1.9566979298320977,146.05102463154535,105.96154208756283,0.125,0.22541812386403937,0.6520433493404111
LSTM,7-Day Rollout,Primavera,Zona Central,Primavera,donihue,0.9697732912598829,0.785265582103637,146.22501112081815,135.1281275654621,0.25595238095238093,0.21782011043479926,0.10235855771738687
LSTM,7-Day Rollout,Verano,Zona Central,Primavera,donihue,3.15210671200763,2.275966868055417,147.41642964892034,114.3582245220655,0.07738095238095238,0.22959219444251944,1.1033050175704264
LSTM,Day 1,Raw,Zona Central,Primavera,pfv_jose_soler_mallafre,0.2616046066491294,0.18424178611325182,143.59857889520725,157.51411809615058,0.30434782608695654,0.02862698312686837,0.0640150544355097
LSTM,Day 1,Invierno,Zona Central,Primavera,pfv_jose_soler_mallafre,0.1707728921939467,0.1378226975709064,129.74410334198993,81.91915578373195,0.4166666666666667,0.030203356076466053,0.010408956899542935
LSTM,Day 1,Otoño,Zona Central,Primavera,pfv_jose_soler_mallafre,0.419354286217437,0.3080654264437423,170.25557172096651,189.369235931097,0.125,0.04694738002120478,0.11696011518288289
LSTM,Day 1,Primavera,Zona Central,Primavera,pfv_jose_soler_mallafre,0.25767122779452206,0.18257377156987786,145.98062913127902,161.89127045288413,0.2916666666666667,0.0285711754191046,0.06060398808525256
LSTM,Day 1,Verano,Zona Central,Primavera,pfv_jose_soler_mallafre,0.4954470993524881,0.3604491225754221,173.63323068087456,194.81357303760774,0.0,0.05038934838181982,0.15430490599634747
LSTM,7-Day Rollout,Raw,Zona Central,Primavera,pfv_jose_soler_mallafre,0.38671453999242356,0.252082904343128,147.22136105465924,137.30346134757752,0.19161676646706588,0.03769174900854322,0.0997224961212121
LSTM,7-Day Rollout,Invierno,Zona Central,Primavera,pfv_jose_soler_mallafre,0.22296464720628154,0.17223815468993225,148.49552729150983,133.91151776720542,0.2619047619047619,0.035919802993340626,0.017840296635528753
LSTM,7-Day Rollout,Otoño,Zona Central,Primavera,pfv_jose_soler_mallafre,0.48953223570615473,0.3528817698953292,152.1059355840988,118.10983224940006,0.08928571428571429,0.04280098381926764,0.13645177212485896
LSTM,7-Day Rollout,Primavera,Zona Central,Primavera,pfv_jose_soler_mallafre,0.38414479058412293,0.25115392547775717,147.4583810109202,137.20778172380395,0.19047619047619047,0.037295990725206576,0.09697352502759411
LSTM,7-Day Rollout,Verano,Zona Central,Primavera,pfv_jose_soler_mallafre,0.45062074062077545,0.31692243904607104,160.9162803711353,162.45821541613861,0.08333333333333333,0.04664766519812733,0.13963566367719546
LSTM,Day 1,Raw,Zona Central,Primavera,pfv_villa_seca,0.947184382501873,0.6892179759064069,136.41749447754822,97.37947160603903,0.25,0.0719735588451537,0.2474776300873297
LSTM,Day 1,Invierno,Zona Central,Primavera,pfv_villa_seca,0.2943655281674453,0.23491834046186946,132.83401884864986,93.54819118555736,0.375,0.05765168895912514,0.04571872951363128
LSTM,Day 1,Otoño,Zona Central,Primavera,pfv_villa_seca,0.8023083305297658,0.6142997820279561,139.46228253461044,87.08183647927913,0.3333333333333333,0.07326892129979873,0.14466375049378258
LSTM,Day 1,Primavera,Zona Central,Primavera,pfv_villa_seca,0.8873648113700546,0.6397964586115753,133.77292355226896,91.22386500120496,0.2916666666666667,0.0651056936806223,0.18529798884216386
LSTM,Day 1,Verano,Zona Central,Primavera,pfv_villa_seca,1.059958029983411,0.7907822656755646,146.20971884642398,119.09895278468987,0.2916666666666667,0.08960464233532549,0.1939682539862891
LSTM,7-Day Rollout,Raw,Zona Central,Primavera,pfv_villa_seca,1.0202160334988828,0.7677772381742086,144.65042556631343,105.67782252713876,0.05357142857142857,0.09393072016537189,0.30816843822110623
LSTM,7-Day Rollout,Invierno,Zona Central,Primavera,pfv_villa_seca,0.3804098697788574,0.31473477260455446,142.9720064162743,127.00693196950795,0.30357142857142855,0.07712072943896342,0.03405665538182242
LSTM,7-Day Rollout,Otoño,Zona Central,Primavera,pfv_villa_seca,0.7734789371097245,0.5919153376723573,138.60533395655582,90.74189283340858,0.27380952380952384,0.08022391463282041,0.09354328853930514
LSTM,7-Day Rollout,Primavera,Zona Central,Primavera,pfv_villa_seca,0.9674609935305019,0.7290094086534477,140.7374219593784,100.21265815121532,0.13095238095238096,0.08832364902371496,0.2223727327491534
LSTM,7-Day Rollout,Verano,Zona Central,Primavera,pfv_villa_seca,0.8195094983919503,0.5925688012111788,127.97776269962765,95.80137432899772,0.39285714285714285,0.06963744155028355,0.10835469233763025
LSTM_LOCAL,Day 1,Raw,Zona Central,Primavera,donihue,1.1327075224802923,0.6822766794256218,67.31833695348925,112.18267936461086,0.8695652173913043,0.05034848532902643,0.086426180446237
LSTM_LOCAL,Day 1,Invierno,Zona Central,Primavera,donihue,0.7813922642434323,0.4873802156653255,56.210103654856425,124.17198323824343,1.0,0.030915607950494934,0.1821956962696278
LSTM_LOCAL,Day 1,Otoño,Zona Central,Primavera,donihue,3.083173221443142,1.8897960263614852,172.70001366975555,150.04931603155708,0.5833333333333334,0.10336051370250061,1.1350832884083502
LSTM_LOCAL,Day 1,Primavera,Zona Central,Primavera,donihue,1.0994407715366803,0.6570845457220761,63.97006373575756,113.62221927243847,0.875,0.0482287500431994,0.07940731087874159
LSTM_LOCAL,Day 1,Verano,Zona Central,Primavera,donihue,1.1108663303059414,0.8937890329398215,101.51956355588032,31.952371987981536,1.0,0.13642934114517022,0.29190600612976925
LSTM_LOCAL,7-Day Rollout,Raw,Zona Central,Primavera,donihue,0.9402479684718059,0.5191003572876136,77.32124990931737,130.2342259458978,0.9041916167664671,0.03653508698843799,0.08197329638739856
