Model,Horizon,Window,Macrozona,Estacion,Planta,RMSE,MAE,sMAPE,rRMSE,Coverage_90,Pinball_P05,Pinball_P95
INFORMER,Day 1,Raw,Zona Central,Verano,alto_solar,0.21358368227144298,0.21352015001078448,200.0,0.0,0.0,0.014763883625467619,0.10708234210809082
INFORMER,Day 1,Invierno,Zona Central,Verano,alto_solar,1.138679964167687,0.7459687946150856,175.26815378741486,164.78331465656578,0.20833333333333334,0.057515531903967104,0.1832306040843833
INFORMER,Day 1,Operational,Zona Central,Verano,alto_solar,1.3121710125177053,0.901877667104903,166.71046989620072,145.97789019616394,0.20833333333333334,0.07025836757723786,0.24935894332059738
INFORMER,Day 1,Otoño,Zona Central,Verano,alto_solar,1.3008000521649012,0.8792750354138358,167.15063792846374,149.5679013439783,0.25,0.06707477771997218,0.23828712855417208
INFORMER,Day 1,Primavera,Zona Central,Verano,alto_solar,0.9827818380305,0.7024535846345922,172.1100194835121,145.80388378113767,0.3333333333333333,0.051891223259432684,0.08644327884109475
INFORMER,Day 1,Verano,Zona Central,Verano,alto_solar,1.3121710125177053,0.901877667104903,166.71046989620072,145.97789019616394,0.20833333333333334,0.07025836757723786,0.24935894332059738
INFORMER,7-Day Rollout,Raw,Zona Central,Verano,alto_solar,0.22193505679945746,0.22189213601606234,200.0,0.0,0.0,0.12276616634002753,0.056279309448741786
INFORMER,7-Day Rollout,Invierno,Zona Central,Verano,alto_solar,0.677646755597134,0.40233551247902577,169.1404540320518,232.00627433664894,0.10714285714285714,0.10913867403972592,0.11565673722636263
INFORMER,7-Day Rollout,Operational,Zona Central,Verano,alto_solar,1.2095529457721192,0.8039085847641607,162.88982229707,152.20415232982032,0.125,0.10671176068759189,0.42191699731476895
INFORMER,7-Day Rollout,Otoño,Zona Central,Verano,alto_solar,1.2108029675079781,0.8025528770466779,162.80771306647074,152.5916633027246,0.11904761904761904,0.10375655230170759,0.42216728712207574
INFORMER,7-Day Rollout,Primavera,Zona Central,Verano,alto_solar,0.8854532206730755,0.544920626286815,173.48236483099225,191.43993453259313,0.09523809523809523,0.10372580964953418,0.2955650794437177
INFORMER,7-Day Rollout,Verano,Zona Central,Verano,alto_solar,1.2095529457721192,0.8039085847641607,162.88982229707,152.20415232982032,0.125,0.10671176068759189,0.42191699731476895
INFORMER,Day 1,Raw,Zona Central,Verano,chancon,1.1855309331713766,0.875445353796143,162.524917183762,131.2551521591911,0.375,0.05275029901495145,0.09667889396647909
INFORMER,Day 1,Invierno,Zona Central,Verano,chancon,0.7168415848897772,0.5217508817246804,171.54938996836756,152.27745992255544,0.375,0.05594991667118545,0.06898950050041706
INFORMER,Day 1,Otoño,Zona Central,Verano,chancon,1.0494279203671106,0.7669033615432758,167.24603075404775,136.49554065973237,0.2916666666666667,0.06623540776078395,0.11217503303608589
INFORMER,Day 1,Primavera,Zona Central,Verano,chancon,0.6426156183727076,0.4590563681752731,159.0249077395696,149.74319301277805,0.4166666666666667,0.04422843718202785,0.08434794440011811
INFORMER,Day 1,Verano,Zona Central,Verano,chancon,1.185157970577052,0.8748870004589359,162.28939193733876,131.21887196812622,0.2916666666666667,0.06627245435180763,0.15991171364051607
INFORMER,7-Day Rollout,Raw,Zona Central,Verano,chancon,1.237457298800647,0.8974365031653655,162.86748436781448,134.7724928440027,0.15476190476190477,0.09963642082343756,0.46008608881493274
INFORMER,7-Day Rollout,Invierno,Zona Central,Verano,chancon,0.4288513380299108,0.29914129432461867,167.26763314126808,235.96626344552612,0.17261904761904762,0.10946996997112299,0.05381214921620716
INFORMER,7-Day Rollout,Otoño,Zona Central,Verano,chancon,1.1039687731191905,0.8026644113486198,167.81274979705796,137.62535726029333,0.11904761904761904,0.10354187975158634,0.41481449513813307
INFORMER,7-Day Rollout,Primavera,Zona Central,Verano,chancon,0.7040823973305802,0.44328249976180295,172.5003959129338,204.64019133196635,0.08928571428571429,0.10501923668146317,0.24476261708502237
INFORMER,7-Day Rollout,Verano,Zona Central,Verano,chancon,1.2361871276382135,0.8964900480683095,162.62204198181973,134.63382658492569,0.125,0.10118453890900128,0.5033615457861396
INFORMER,Day 1,Raw,Zona Central,Verano,chimbarongo,0.4383777870886804,0.3193229613825679,141.26401077759823,145.71868573853703,0.5,0.028309411322698,0.08469269494526095
INFORMER,Day 1,Invierno,Zona Central,Verano,chimbarongo,0.5039540460343024,0.3517582926651812,158.22739235354732,173.01948631831345,0.4166666666666667,0.04221256602068024,0.07871419927602506
INFORMER,Day 1,Otoño,Zona Central,Verano,chimbarongo,1.2291778099291493,0.9051877708019068,172.18141913123458,135.49112525312972,0.125,0.07584735235432163,0.19808650234481326
INFORMER,Day 1,Primavera,Zona Central,Verano,chimbarongo,0.2426387351026629,0.22771975630125021,143.12085304814926,128.71831059636304,0.4166666666666667,0.03821220671182459,0.08162257751256265
INFORMER,Day 1,Verano,Zona Central,Verano,chimbarongo,0.4393657732419305,0.32104634602243703,142.40196438120387,146.67244999196768,0.4583333333333333,0.03910131060983985,0.07778977840983627
INFORMER,7-Day Rollout,Raw,Zona Central,Verano,chimbarongo,1.0845354415564379,0.7542274886025206,157.3689188210656,140.83614496012177,0.18452380952380953,0.09249165918917719,0.4196493118996581
INFORMER,7-Day Rollout,Invierno,Zona Central,Verano,chimbarongo,0.3319297180533481,0.24982063068758484,168.60653499140247,317.47654648166593,0.15476190476190477,0.11844149939773463,0.0462136608171802
INFORMER,7-Day Rollout,Otoño,Zona Central,Verano,chimbarongo,1.1532841730441736,0.8474112684079144,169.78764039960996,136.32055089025715,0.08333333333333333,0.10772006157423884,0.4214738102305766
INFORMER,7-Day Rollout,Primavera,Zona Central,Verano,chimbarongo,0.6324067588899376,0.38935424133990587,169.71716893039894,220.48893257486034,0.08928571428571429,0.10368141223077851,0.2177362357817222
