Model,Horizon,Window,Macrozona,Estacion,Planta,RMSE,MAE,sMAPE,rRMSE,Coverage_90,Pinball_P05,Pinball_P95
INFORMER,Day 1,Raw,Zona Sur,Invierno,las_codornices,1.0106406907904109,0.6892683255719021,181.23763323622083,150.91548221678764,0.16666666666666666,0.049620783889743815,0.16108964471107665
INFORMER,Day 1,Invierno,Zona Sur,Invierno,las_codornices,1.0103778854819605,0.6943742010431985,179.99870787745337,150.9141172767402,0.16666666666666666,0.05300201622303575,0.1974799140589312
INFORMER,Day 1,Otoño,Zona Sur,Invierno,las_codornices,1.5486656315340823,1.1117043855871696,181.79983648776158,139.11184457783753,0.08333333333333333,0.07427355121762957,0.5004314447782235
INFORMER,Day 1,Primavera,Zona Sur,Invierno,las_codornices,0.6283124960320055,0.39769023457968916,156.24010228361144,167.88065256975676,0.375,0.03517351652311238,0.09948748821382959
INFORMER,Day 1,Verano,Zona Sur,Invierno,las_codornices,1.9246642976301103,1.448501963634044,175.6310229575648,129.87094705110164,0.125,0.08330524192036441,0.701669168837058
INFORMER,7-Day Rollout,Raw,Zona Sur,Invierno,las_codornices,0.8938318035992402,0.5740132839966376,163.50143787274004,161.27346679755078,0.17857142857142858,0.07809168691514752,0.31620943462638984
INFORMER,7-Day Rollout,Invierno,Zona Sur,Invierno,las_codornices,0.893090060856358,0.574410802193424,163.38793059872364,161.15783599845093,0.17261904761904762,0.07590861814654394,0.32715208815570807
INFORMER,7-Day Rollout,Otoño,Zona Sur,Invierno,las_codornices,1.4488024921386258,1.0182091167655363,177.01500362387998,142.09125919313982,0.05357142857142857,0.09852279867367802,0.6592530635833792
INFORMER,7-Day Rollout,Primavera,Zona Sur,Invierno,las_codornices,0.6162773356755022,0.4036080723998014,155.71678209804466,161.07037752475298,0.19047619047619047,0.07070601858162062,0.17546650248587092
INFORMER,7-Day Rollout,Verano,Zona Sur,Invierno,las_codornices,1.654773687160785,1.180721213159727,169.69682669220614,136.95563176683675,0.05952380952380952,0.09786003973377946,0.7818209394194495
LSTM,Day 1,Raw,Zona Sur,Invierno,las_codornices,0.6999123652876239,0.48202861950267106,148.56142369128722,104.51549505122735,0.4166666666666667,0.04558606461505405,0.09546962253710567
LSTM,Day 1,Invierno,Zona Sur,Invierno,las_codornices,0.6505061836107103,0.4548516967333853,143.19721335400664,97.16222800724016,0.4583333333333333,0.04781247947830707,0.0662970187375322
LSTM,Day 1,Otoño,Zona Sur,Invierno,las_codornices,1.1910507458218134,0.8611032957172332,151.9966548301398,106.98840528471763,0.3333333333333333,0.061987981783264944,0.28667905448916525
LSTM,Day 1,Primavera,Zona Sur,Invierno,las_codornices,0.3408136413993325,0.25281859859630157,132.75806365233524,91.06299315091213,0.5833333333333334,0.02886799633318636,0.028070067980540167
LSTM,Day 1,Verano,Zona Sur,Invierno,las_codornices,1.5852494660871508,1.2006876982438068,150.89205311129345,106.96818646581343,0.20833333333333334,0.07308414762374014,0.6003133234179888
LSTM,7-Day Rollout,Raw,Zona Sur,Invierno,las_codornices,0.6745414986491088,0.43794191618646783,140.03660192758588,121.70706563349418,0.30357142857142855,0.04388311958994434,0.15319430333769385
LSTM,7-Day Rollout,Invierno,Zona Sur,Invierno,las_codornices,0.6008885181022016,0.40221213540159323,135.47212492129395,108.4301544693172,0.47619047619047616,0.04064023847185169,0.05291428167710409
LSTM,7-Day Rollout,Otoño,Zona Sur,Invierno,las_codornices,1.1134609557126183,0.7937298231374283,149.88185270771177,109.20264847561052,0.20238095238095238,0.062281188489543546,0.25558355490374246
LSTM,7-Day Rollout,Primavera,Zona Sur,Invierno,las_codornices,0.40971171323429445,0.306904776582114,138.74663304423999,107.08234183985815,0.44047619047619047,0.03799377213062592,0.04525575759916751
LSTM,7-Day Rollout,Verano,Zona Sur,Invierno,las_codornices,1.3607843525744716,0.9679075013015054,144.64108403834726,112.62390872616916,0.19047619047619047,0.0659309028856136,0.4846594649502874
