Model,Horizon,Window,Macrozona,Estacion,Planta,RMSE,MAE,sMAPE,rRMSE,Coverage_90,Pinball_P05,Pinball_P95
INFORMER,Day 1,Raw,Zona Central,Invierno,altos_de_til_til,0.5367159355235505,0.40699362677211565,160.08422759595229,181.15428204650672,0.08333333333333333,0.14901514968369156,0.21807592044739674
INFORMER,7-Day Rollout,Raw,Zona Central,Invierno,altos_de_til_til,0.5096951174273375,0.4179046629294333,144.36843238004994,189.64526362038052,0.11278195488721804,0.19627575695828037,0.1715182135999378
LSTM,Day 1,Raw,Zona Central,Invierno,altos_de_til_til,0.5340357732070741,0.37013852891201776,160.98927321661017,180.24966407622833,0.7083333333333334,0.015053648043734333,0.1339075301385795
LSTM,7-Day Rollout,Raw,Zona Central,Invierno,altos_de_til_til,0.5004683846062868,0.35025473893620074,149.31316391625066,186.21221880913131,0.45864661654135336,0.05326682529788591,0.13814610118594345
NHITS,Day 1,Raw,Zona Central,Invierno,altos_de_til_til,0.4542260143010962,0.27288565241421264,131.29951479958206,153.31198882197305,1.0,0.014813779985221725,0.066206882451661
NHITS,7-Day Rollout,Raw,Zona Central,Invierno,altos_de_til_til,0.43736385578768355,0.3077169905147074,138.58168200761412,162.73254518806704,1.0,0.01343811882503989,0.05511344684807841
TFT,Day 1,Raw,Zona Central,Invierno,altos_de_til_til,0.46876532586708547,0.3361586172444125,154.51399892755944,158.21934925951626,0.625,0.0184873877481247,0.18281244982499625
TFT,7-Day Rollout,Raw,Zona Central,Invierno,altos_de_til_til,0.45711356892955296,0.33913719191397995,143.46210501469753,170.08093725060365,0.5413533834586466,0.034434253794466727,0.15500509504874804
XGB_GLOBAL,Day 1,Raw,Zona Central,Invierno,altos_de_til_til,0.44629884980260603,0.2244377706083469,141.21708060868775,150.63638391006054,,,
XGB_GLOBAL,7-Day Rollout,Raw,Zona Central,Invierno,altos_de_til_til,0.40519179234943725,0.22343178168999397,135.56545104496695,161.77558885100717,,,
XGB_LOCAL,Day 1,Raw,Zona Central,Invierno,altos_de_til_til,0.2068541732405488,0.09441342031156334,129.97643738282704,69.81816033683072,,,
XGB_LOCAL,7-Day Rollout,Raw,Zona Central,Invierno,altos_de_til_til,0.3931531187625415,0.22178428172628628,134.20969308216286,156.96906624793934,,,
