Model,Horizon,Macrozona,Estacion,Planta,RMSE,MAE,sMAPE,rRMSE,Coverage_90,Pinball_P05,Pinball_P95
INFORMER,Day 1,Zona Central,Verano,alto_solar,0.23272347312532946,0.23244114220142365,200.0,0.0,0.0,0.05022027995437383,0.05960805267095572
INFORMER,7-Day Rollout,Zona Central,Verano,alto_solar,0.26024052292779215,0.2599044490960382,200.0,0.0,0.0,0.1659660145751245,0.0389523959275158
LSTM,Day 1,Zona Central,Verano,alto_solar,0.28993687571736254,0.2767996446539958,200.0,0.0,1.0,0.0,0.06442867989341423
LSTM,7-Day Rollout,Zona Central,Verano,alto_solar,0.376956528217213,0.36720594568621545,200.0,0.0,0.5952380952380952,0.04565675347777349,0.05521320840787324
NHITS,Day 1,Zona Central,Verano,alto_solar,0.02771227688053896,0.021147388344009716,166.66666666666669,0.0,0.375,0.011507767563064894,0.00048408284783363386
NHITS,7-Day Rollout,Zona Central,Verano,alto_solar,0.1165411456779348,0.10723314802384093,195.23809523809524,0.0,0.05357142857142857,0.09723146709258712,0.005069869430735712
TFT,Day 1,Zona Central,Verano,alto_solar,0.5048503544152074,0.5019956330458323,200.0,0.0,0.0,0.17748393968989448,0.02548668570816519
TFT,7-Day Rollout,Zona Central,Verano,alto_solar,0.6423820048326669,0.6070292994734787,200.0,0.0,0.2261904761904762,0.200994289267276,0.04103735114137336
XGB_GLOBAL,Day 1,Zona Central,Verano,alto_solar,1.0981614213857378,0.7678129961714149,200.0,0.0,,,
XGB_GLOBAL,7-Day Rollout,Zona Central,Verano,alto_solar,1.0931672220774684,0.7649237368078459,200.0,0.0,,,
XGB_LOCAL,Day 1,Zona Central,Verano,alto_solar,0.16497515711239316,0.09713760097899164,200.0,0.0,,,
XGB_LOCAL,7-Day Rollout,Zona Central,Verano,alto_solar,0.20577991443005503,0.11223799128856626,195.23809523809524,0.0,,,
