Model,Horizon,Window,Macrozona,Estacion,Planta,RMSE,MAE,sMAPE,rRMSE,Coverage_90,Pinball_P05,Pinball_P95
INFORMER,Day 1,Raw,Zona Central,Invierno,altos_de_til_til,0.5367159355235505,0.40699362677211565,160.08422759595229,181.15428204650672,0.08333333333333333,0.14901514968369156,0.21807592044739674
INFORMER,7-Day Rollout,Raw,Zona Central,Invierno,altos_de_til_til,0.5096951174273375,0.4179046629294333,144.36843238004994,189.64526362038052,0.11278195488721804,0.19627575695828037,0.1715182135999378
INFORMER,Day 1,Raw,Zona Central,Verano,alto_solar,0.2819457579334385,0.2721795868128538,200.0,0.0,0.0,0.3569146779986719,0.01203571322063606
INFORMER,Day 1,Operational,Zona Central,Verano,alto_solar,1.2644795155230752,0.9168912643896571,163.80472943314473,140.67225240569428,0.0,0.18961036689919034,0.750205077198431
INFORMER,7-Day Rollout,Raw,Zona Central,Verano,alto_solar,0.3951447872791895,0.3865732793651876,200.0,0.0,0.0,0.3700589573143848,0.01754412353482276
INFORMER,7-Day Rollout,Operational,Zona Central,Verano,alto_solar,1.1333146363966067,0.8742484016970377,154.7707981900772,142.61070105171098,0.005952380952380952,0.25780632425684463,0.5971317716581759
LSTM,Day 1,Raw,Zona Central,Invierno,altos_de_til_til,0.5340357732070741,0.37013852891201776,160.98927321661017,180.24966407622833,0.7083333333333334,0.015053648043734333,0.1339075301385795
LSTM,7-Day Rollout,Raw,Zona Central,Invierno,altos_de_til_til,0.5004683846062868,0.35025473893620074,149.31316391625066,186.21221880913131,0.45864661654135336,0.05326682529788591,0.13814610118594345
LSTM,Day 1,Raw,Zona Central,Verano,alto_solar,0.27518831930765125,0.2748597202201684,200.0,0.0,0.0,0.15807304329549274,0.00878988451634845
LSTM,Day 1,Operational,Zona Central,Verano,alto_solar,1.3003515098116856,0.8946548048115801,165.8604875648726,144.66298074325502,0.0,0.12909112588531568,0.7666443879391105
LSTM,7-Day Rollout,Raw,Zona Central,Verano,alto_solar,0.28961321839936466,0.2893734443045798,200.0,0.0,0.0,0.24281254291445728,0.013023931568577188
LSTM,7-Day Rollout,Operational,Zona Central,Verano,alto_solar,1.1993303858789799,0.8013211492631983,161.8904189485998,150.9177960205619,0.0,0.14124893307827213,0.6611196410682861
NHITS,Day 1,Raw,Zona Central,Invierno,altos_de_til_til,0.4542260143010962,0.27288565241421264,131.29951479958206,153.31198882197305,1.0,0.014813779985221725,0.066206882451661
